"Plot Title: AE10-S5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995231, SEN S/N: 9995231)","Intensity, Lux (LGR S/N: 9995231, SEN S/N: 9995231)","Bad Battery (LGR S/N: 9995231)","Coupler Attached (LGR S/N: 9995231)","Host Connected (LGR S/N: 9995231)","Stopped (LGR S/N: 9995231)","End Of File (LGR S/N: 9995231)"
1,09/05/18 01:00:00 PM,21.187,14466.8,,,,,
2,09/05/18 04:00:00 PM,19.853,2152.8,,,,,
3,09/05/18 07:00:00 PM,16.237,150.7,,,,,
4,09/05/18 10:00:00 PM,14.709,0.0,,,,,
5,09/06/18 01:00:00 AM,13.942,0.0,,,,,
6,09/06/18 04:00:00 AM,13.365,0.0,,,,,
7,09/06/18 07:00:00 AM,13.076,161.5,,,,,
8,09/06/18 10:00:00 AM,16.046,5166.7,,,,,
9,09/06/18 01:00:00 PM,22.429,12400.1,,,,,
10,09/06/18 04:00:00 PM,20.234,2152.8,,,,,
11,09/06/18 07:00:00 PM,16.141,150.7,,,,,
12,09/06/18 10:00:00 PM,12.980,0.0,,,,,
13,09/07/18 01:00:00 AM,12.594,0.0,,,,,
14,09/07/18 04:00:00 AM,12.013,0.0,,,,,
15,09/07/18 07:00:00 AM,11.625,150.7,,,,,
16,09/07/18 10:00:00 AM,14.421,2927.8,,,,,
17,09/07/18 01:00:00 PM,20.234,4650.0,,,,,
18,09/07/18 04:00:00 PM,19.662,3616.7,,,,,
19,09/07/18 07:00:00 PM,13.654,968.8,,,,,
20,09/07/18 10:00:00 PM,10.846,0.0,,,,,
21,09/08/18 01:00:00 AM,9.669,0.0,,,,,
22,09/08/18 04:00:00 AM,8.082,0.0,,,,,
23,09/08/18 07:00:00 AM,7.481,129.2,,,,,
24,09/08/18 10:00:00 AM,9.077,3100.0,,,,,
25,09/08/18 01:00:00 PM,11.431,4994.5,,,,,
26,09/08/18 04:00:00 PM,10.748,2927.8,,,,,
27,09/08/18 07:00:00 PM,8.879,172.2,,,,,
28,09/08/18 10:00:00 PM,8.082,0.0,,,,,
29,09/09/18 01:00:00 AM,7.280,0.0,,,,,
30,09/09/18 04:00:00 AM,7.582,0.0,,,,,
31,09/09/18 07:00:00 AM,6.978,64.6,,,,,
32,09/09/18 10:00:00 AM,9.965,2755.6,,,,,
33,09/09/18 01:00:00 PM,15.378,10333.4,,,,,
34,09/09/18 04:00:00 PM,13.076,2238.9,,,,,
35,09/09/18 07:00:00 PM,11.236,322.9,,,,,
36,09/09/18 10:00:00 PM,9.669,0.0,,,,,
37,09/10/18 01:00:00 AM,9.571,0.0,,,,,
38,09/10/18 04:00:00 AM,7.882,0.0,,,,,
39,09/10/18 07:00:00 AM,6.370,118.4,,,,,
40,09/10/18 10:00:00 AM,6.978,5166.7,,,,,
41,09/10/18 01:00:00 PM,8.182,5511.1,,,,,
42,09/10/18 04:00:00 PM,7.582,721.2,,,,,
43,09/10/18 07:00:00 PM,6.674,64.6,,,,,
44,09/10/18 10:00:00 PM,6.064,0.0,,,,,
45,09/11/18 01:00:00 AM,5.450,0.0,,,,,
46,09/11/18 04:00:00 AM,5.037,0.0,,,,,
47,09/11/18 07:00:00 AM,5.244,96.9,,,,,
48,09/11/18 10:00:00 AM,6.064,2411.1,,,,,
49,09/11/18 01:00:00 PM,8.182,4477.8,,,,,
50,09/11/18 04:00:00 PM,7.481,1894.5,,,,,
51,09/11/18 07:00:00 PM,5.552,86.1,,,,,
52,09/11/18 10:00:00 PM,4.934,0.0,,,,,
53,09/12/18 01:00:00 AM,5.037,0.0,,,,,
54,09/12/18 04:00:00 AM,5.037,0.0,,,,,
55,09/12/18 07:00:00 AM,5.037,86.1,,,,,
56,09/12/18 10:00:00 AM,6.370,2411.1,,,,,
57,09/12/18 01:00:00 PM,7.481,2152.8,,,,,
58,09/12/18 04:00:00 PM,7.079,2411.1,,,,,
59,09/12/18 07:00:00 PM,5.347,366.0,,,,,
60,09/12/18 10:00:00 PM,4.311,0.0,,,,,
61,09/13/18 01:00:00 AM,4.415,0.0,,,,,
62,09/13/18 04:00:00 AM,4.311,0.0,,,,,
63,09/13/18 07:00:00 AM,4.311,139.9,,,,,
64,09/13/18 10:00:00 AM,5.757,4305.6,,,,,
65,09/13/18 01:00:00 PM,7.280,3788.9,,,,,
66,09/13/18 04:00:00 PM,7.782,5166.7,,,,,
67,09/13/18 07:00:00 PM,6.370,64.6,,,,,
68,09/13/18 10:00:00 PM,5.860,0.0,,,,,
69,09/14/18 01:00:00 AM,4.934,0.0,,,,,
70,09/14/18 04:00:00 AM,4.934,0.0,,,,,
71,09/14/18 07:00:00 AM,5.037,96.9,,,,,
72,09/14/18 10:00:00 AM,6.471,3272.2,,,,,
73,09/14/18 01:00:00 PM,11.722,37200.2,,,,,
74,09/14/18 04:00:00 PM,8.481,3272.2,,,,,
75,09/14/18 07:00:00 PM,5.757,21.5,,,,,
76,09/14/18 10:00:00 PM,5.655,0.0,,,,,
77,09/15/18 01:00:00 AM,5.037,0.0,,,,,
78,09/15/18 04:00:00 AM,4.415,0.0,,,,,
79,09/15/18 07:00:00 AM,4.311,183.0,,,,,
80,09/15/18 10:00:00 AM,6.064,3100.0,,,,,
81,09/15/18 01:00:00 PM,8.182,5166.7,,,,,
82,09/15/18 04:00:00 PM,6.674,1550.0,,,,,
83,09/15/18 07:00:00 PM,5.757,129.2,,,,,
84,09/15/18 10:00:00 PM,4.831,0.0,,,,,
85,09/16/18 01:00:00 AM,4.831,0.0,,,,,
86,09/16/18 04:00:00 AM,4.831,0.0,,,,,
87,09/16/18 07:00:00 AM,4.519,10.8,,,,,
88,09/16/18 10:00:00 AM,3.683,538.2,,,,,
89,09/16/18 01:00:00 PM,4.415,1722.2,,,,,
90,09/16/18 04:00:00 PM,5.037,1722.2,,,,,
91,09/16/18 07:00:00 PM,4.207,107.6,,,,,
92,09/16/18 10:00:00 PM,3.893,0.0,,,,,
93,09/17/18 01:00:00 AM,3.472,0.0,,,,,
94,09/17/18 04:00:00 AM,2.517,0.0,,,,,
95,09/17/18 07:00:00 AM,2.303,64.6,,,,,
96,09/17/18 10:00:00 AM,3.683,2411.1,,,,,
97,09/17/18 01:00:00 PM,10.063,60622.6,,,,,
98,09/17/18 04:00:00 PM,7.582,2583.4,,,,,
99,09/17/18 07:00:00 PM,6.877,107.6,,,,,
100,09/17/18 10:00:00 PM,5.860,0.0,,,,,
101,09/18/18 01:00:00 AM,4.727,0.0,,,,,
102,09/18/18 04:00:00 AM,3.367,0.0,,,,,
103,09/18/18 07:00:00 AM,2.943,64.6,,,,,
104,09/18/18 10:00:00 AM,6.268,2325.0,,,,,
105,09/18/18 01:00:00 PM,11.139,60622.6,,,,,
106,09/18/18 04:00:00 PM,9.768,1894.5,,,,,
107,09/18/18 07:00:00 PM,7.782,64.6,,,,,
108,09/18/18 10:00:00 PM,6.978,0.0,,,,,
109,09/19/18 01:00:00 AM,6.268,0.0,,,,,
110,09/19/18 04:00:00 AM,5.552,0.0,,,,,
111,09/19/18 07:00:00 AM,4.831,32.3,,,,,
112,09/19/18 10:00:00 AM,6.775,2411.1,,,,,
113,09/19/18 01:00:00 PM,10.161,4994.5,,,,,
114,09/19/18 04:00:00 PM,8.978,1808.3,,,,,
115,09/19/18 07:00:00 PM,6.268,43.1,,,,,
116,09/19/18 10:00:00 PM,5.244,0.0,,,,,
117,09/20/18 01:00:00 AM,4.831,0.0,,,,,
118,09/20/18 04:00:00 AM,3.578,0.0,,,,,
119,09/20/18 07:00:00 AM,3.367,10.8,,,,,
120,09/20/18 10:00:00 AM,5.552,5166.7,,,,,
121,09/20/18 01:00:00 PM,7.983,6544.5,,,,,
122,09/20/18 04:00:00 PM,8.879,2583.4,,,,,
123,09/20/18 07:00:00 PM,7.179,10.8,,,,,
124,09/20/18 10:00:00 PM,6.471,0.0,,,,,
125,09/21/18 01:00:00 AM,6.471,0.0,,,,,
126,09/21/18 04:00:00 AM,5.655,0.0,,,,,
127,09/21/18 07:00:00 AM,6.166,75.3,,,,,
128,09/21/18 10:00:00 AM,8.978,3444.5,,,,,
129,09/21/18 01:00:00 PM,12.594,11022.3,,,,,
