"Plot Title: AE10-S6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10517321, SEN S/N: 10517321, LBL: C)","Intensity, Lux (LGR S/N: 10517321, SEN S/N: 10517321, LBL: Lux)","Bad Battery (LGR S/N: 10517321)","End Of File (LGR S/N: 10517321)"
1,09/05/18 01:00:00 PM,19.377,4650.0,,
2,09/05/18 04:00:00 PM,19.567,2411.1,,
3,09/05/18 07:00:00 PM,15.951,150.7,,
4,09/05/18 10:00:00 PM,14.421,0.0,,
5,09/06/18 01:00:00 AM,13.654,0.0,,
6,09/06/18 04:00:00 AM,13.173,0.0,,
7,09/06/18 07:00:00 AM,12.883,150.7,,
8,09/06/18 10:00:00 AM,15.569,2755.6,,
9,09/06/18 01:00:00 PM,21.378,4650.0,,
10,09/06/18 04:00:00 PM,20.424,2411.1,,
11,09/06/18 07:00:00 PM,16.046,150.7,,
12,09/06/18 10:00:00 PM,12.980,0.0,,
13,09/07/18 01:00:00 AM,12.497,0.0,,
14,09/07/18 04:00:00 AM,11.916,0.0,,
15,09/07/18 07:00:00 AM,11.528,139.9,,
16,09/07/18 10:00:00 AM,14.038,2583.4,,
17,09/07/18 01:00:00 PM,19.853,4305.6,,
18,09/07/18 04:00:00 PM,19.853,3444.5,,
19,09/07/18 07:00:00 PM,13.750,871.9,,
20,09/07/18 10:00:00 PM,10.944,0.0,,
21,09/08/18 01:00:00 AM,9.866,0.0,,
22,09/08/18 04:00:00 AM,8.282,0.0,,
23,09/08/18 07:00:00 AM,7.682,107.6,,
24,09/08/18 10:00:00 AM,9.275,2755.6,,
25,09/08/18 01:00:00 PM,11.722,4305.6,,
26,09/08/18 04:00:00 PM,11.041,3100.0,,
27,09/08/18 07:00:00 PM,8.978,183.0,,
28,09/08/18 10:00:00 PM,8.082,0.0,,
29,09/09/18 01:00:00 AM,7.280,0.0,,
30,09/09/18 04:00:00 AM,7.582,0.0,,
31,09/09/18 07:00:00 AM,6.877,64.6,,
32,09/09/18 10:00:00 AM,8.879,1722.2,,
33,09/09/18 01:00:00 PM,15.855,7577.8,,
34,09/09/18 04:00:00 PM,12.980,1894.5,,
35,09/09/18 07:00:00 PM,11.236,322.9,,
36,09/09/18 10:00:00 PM,9.669,0.0,,
37,09/10/18 01:00:00 AM,9.571,0.0,,
38,09/10/18 04:00:00 AM,7.983,0.0,,
39,09/10/18 07:00:00 AM,6.674,129.2,,
40,09/10/18 10:00:00 AM,7.079,4477.8,,
41,09/10/18 01:00:00 PM,8.382,5511.1,,
42,09/10/18 04:00:00 PM,7.882,731.9,,
43,09/10/18 07:00:00 PM,6.877,64.6,,
44,09/10/18 10:00:00 PM,6.268,0.0,,
45,09/11/18 01:00:00 AM,5.757,0.0,,
46,09/11/18 04:00:00 AM,5.347,0.0,,
47,09/11/18 07:00:00 AM,5.347,96.9,,
48,09/11/18 10:00:00 AM,6.166,2411.1,,
49,09/11/18 01:00:00 PM,7.983,5166.7,,
50,09/11/18 04:00:00 PM,7.782,1980.6,,
51,09/11/18 07:00:00 PM,5.962,86.1,,
52,09/11/18 10:00:00 PM,5.141,0.0,,
53,09/12/18 01:00:00 AM,5.244,0.0,,
54,09/12/18 04:00:00 AM,5.141,0.0,,
55,09/12/18 07:00:00 AM,5.141,86.1,,
56,09/12/18 10:00:00 AM,6.370,2755.6,,
57,09/12/18 01:00:00 PM,8.282,2152.8,,
58,09/12/18 04:00:00 PM,7.481,2411.1,,
59,09/12/18 07:00:00 PM,5.655,376.7,,
60,09/12/18 10:00:00 PM,4.519,0.0,,
61,09/13/18 01:00:00 AM,4.519,0.0,,
62,09/13/18 04:00:00 AM,4.415,0.0,,
63,09/13/18 07:00:00 AM,4.415,150.7,,
64,09/13/18 10:00:00 AM,5.655,3961.1,,
65,09/13/18 01:00:00 PM,7.179,3100.0,,
66,09/13/18 04:00:00 PM,7.782,5511.1,,
67,09/13/18 07:00:00 PM,6.471,64.6,,
68,09/13/18 10:00:00 PM,5.962,0.0,,
69,09/14/18 01:00:00 AM,5.037,0.0,,
70,09/14/18 04:00:00 AM,4.934,0.0,,
71,09/14/18 07:00:00 AM,5.037,86.1,,
72,09/14/18 10:00:00 AM,6.268,3272.2,,
73,09/14/18 01:00:00 PM,8.481,6200.0,,
