"Plot Title: AG05-S3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10574910, SEN S/N: 10574910, LBL: C)","Intensity, Lux (LGR S/N: 10574910, SEN S/N: 10574910, LBL: Lux)","Coupler Attached (LGR S/N: 10574910)","Host Connected (LGR S/N: 10574910)","Stopped (LGR S/N: 10574910)","End Of File (LGR S/N: 10574910)"
1,09/06/18 01:00:00 PM,18.045,1377.8,,,,
2,09/06/18 04:00:00 PM,19.472,1463.9,,,,
3,09/06/18 07:00:00 PM,18.045,107.6,,,,
4,09/06/18 10:00:00 PM,15.569,0.0,,,,
5,09/07/18 01:00:00 AM,13.942,0.0,,,,
6,09/07/18 04:00:00 AM,13.173,0.0,,,,
7,09/07/18 07:00:00 AM,12.690,21.5,,,,
8,09/07/18 10:00:00 AM,13.558,398.3,,,,
9,09/07/18 01:00:00 PM,17.475,1248.6,,,,
10,09/07/18 04:00:00 PM,19.567,1334.7,,,,
11,09/07/18 07:00:00 PM,15.664,129.2,,,,
12,09/07/18 10:00:00 PM,13.654,0.0,,,,
13,09/08/18 01:00:00 AM,12.787,0.0,,,,
14,09/08/18 04:00:00 AM,11.819,0.0,,,,
15,09/08/18 07:00:00 AM,11.139,21.5,,,,
16,09/08/18 10:00:00 AM,12.304,1463.9,,,,
17,09/08/18 01:00:00 PM,14.325,2583.4,,,,
18,09/08/18 04:00:00 PM,14.038,1722.2,,,,
19,09/08/18 07:00:00 PM,12.980,107.6,,,,
20,09/08/18 10:00:00 PM,11.819,0.0,,,,
21,09/09/18 01:00:00 AM,11.139,0.0,,,,
22,09/09/18 04:00:00 AM,10.651,0.0,,,,
23,09/09/18 07:00:00 AM,10.553,10.8,,,,
24,09/09/18 10:00:00 AM,11.236,398.3,,,,
25,09/09/18 01:00:00 PM,14.804,2669.5,,,,
26,09/09/18 04:00:00 PM,15.187,1324.0,,,,
27,09/09/18 07:00:00 PM,13.846,107.6,,,,
28,09/09/18 10:00:00 PM,13.269,0.0,,,,
29,09/10/18 01:00:00 AM,12.594,0.0,,,,
30,09/10/18 04:00:00 AM,10.748,0.0,,,,
31,09/10/18 07:00:00 AM,9.275,75.3,,,,
32,09/10/18 10:00:00 AM,9.768,1151.7,,,,
33,09/10/18 01:00:00 PM,11.139,1722.2,,,,
34,09/10/18 04:00:00 PM,11.431,882.6,,,,
35,09/10/18 07:00:00 PM,10.455,21.5,,,,
36,09/10/18 10:00:00 PM,10.063,0.0,,,,
37,09/11/18 01:00:00 AM,9.768,0.0,,,,
38,09/11/18 04:00:00 AM,9.373,0.0,,,,
39,09/11/18 07:00:00 AM,9.176,21.5,,,,
40,09/11/18 10:00:00 AM,9.669,1001.0,,,,
41,09/11/18 01:00:00 PM,10.748,2411.1,,,,
42,09/11/18 04:00:00 PM,10.846,1377.8,,,,
43,09/11/18 07:00:00 PM,9.571,32.3,,,,
44,09/11/18 10:00:00 PM,8.680,0.0,,,,
45,09/12/18 01:00:00 AM,8.680,0.0,,,,
46,09/12/18 04:00:00 AM,8.581,0.0,,,,
47,09/12/18 07:00:00 AM,8.481,10.8,,,,
48,09/12/18 10:00:00 AM,8.978,398.3,,,,
49,09/12/18 01:00:00 PM,10.748,1054.9,,,,
50,09/12/18 04:00:00 PM,10.357,1044.1,,,,
51,09/12/18 07:00:00 PM,9.077,204.5,,,,
52,09/12/18 10:00:00 PM,7.682,0.0,,,,
53,09/13/18 01:00:00 AM,7.682,0.0,,,,
54,09/13/18 04:00:00 AM,7.682,0.0,,,,
55,09/13/18 07:00:00 AM,7.782,0.0,,,,
56,09/13/18 10:00:00 AM,8.680,1065.6,,,,
57,09/13/18 01:00:00 PM,10.259,1894.5,,,,
58,09/13/18 04:00:00 PM,10.455,839.6,,,,
59,09/13/18 07:00:00 PM,9.866,43.1,,,,
60,09/13/18 10:00:00 PM,9.077,0.0,,,,
61,09/14/18 01:00:00 AM,8.282,0.0,,,,
62,09/14/18 04:00:00 AM,8.082,0.0,,,,
63,09/14/18 07:00:00 AM,8.182,21.5,,,,
64,09/14/18 10:00:00 AM,8.879,1001.0,,,,
65,09/14/18 01:00:00 PM,10.259,1463.9,,,,
66,09/14/18 04:00:00 PM,11.139,1076.4,,,,
67,09/14/18 07:00:00 PM,10.161,43.1,,,,
68,09/14/18 10:00:00 PM,9.176,0.0,,,,
69,09/15/18 01:00:00 AM,8.382,0.0,,,,
70,09/15/18 04:00:00 AM,7.983,0.0,,,,
71,09/15/18 07:00:00 AM,7.682,21.5,,,,
72,09/15/18 10:00:00 AM,8.779,1248.6,,,,
73,09/15/18 01:00:00 PM,10.748,2755.6,,,,
74,09/15/18 04:00:00 PM,10.259,204.5,,,,
75,09/15/18 07:00:00 PM,9.472,21.5,,,,
76,09/15/18 10:00:00 PM,8.282,0.0,,,,
77,09/16/18 01:00:00 AM,8.082,0.0,,,,
78,09/16/18 04:00:00 AM,8.082,0.0,,,,
79,09/16/18 07:00:00 AM,7.782,0.0,,,,
80,09/16/18 10:00:00 AM,7.582,441.3,,,,
81,09/16/18 01:00:00 PM,8.082,366.0,,,,
82,09/16/18 04:00:00 PM,8.581,516.7,,,,
83,09/16/18 07:00:00 PM,8.182,86.1,,,,
84,09/16/18 10:00:00 PM,7.782,0.0,,,,
85,09/17/18 01:00:00 AM,7.481,0.0,,,,
86,09/17/18 04:00:00 AM,6.471,0.0,,,,
87,09/17/18 07:00:00 AM,6.166,10.8,,,,
88,09/17/18 10:00:00 AM,5.860,269.1,,,,
89,09/17/18 01:00:00 PM,8.581,1302.4,,,,
90,09/17/18 04:00:00 PM,10.063,947.2,,,,
91,09/17/18 07:00:00 PM,9.571,32.3,,,,
92,09/17/18 10:00:00 PM,8.879,0.0,,,,
93,09/18/18 01:00:00 AM,8.382,0.0,,,,
94,09/18/18 04:00:00 AM,7.983,0.0,,,,
95,09/18/18 07:00:00 AM,7.682,0.0,,,,
96,09/18/18 10:00:00 AM,7.381,236.8,,,,
97,09/18/18 01:00:00 PM,9.866,1377.8,,,,
98,09/18/18 04:00:00 PM,11.431,936.5,,,,
99,09/18/18 07:00:00 PM,10.553,10.8,,,,
100,09/18/18 10:00:00 PM,9.077,0.0,,,,
101,09/19/18 01:00:00 AM,8.282,0.0,,,,
102,09/19/18 04:00:00 AM,8.082,0.0,,,,
103,09/19/18 07:00:00 AM,8.082,0.0,,,,
104,09/19/18 10:00:00 AM,8.779,376.7,,,,
105,09/19/18 01:00:00 PM,10.357,1259.4,,,,
106,09/19/18 04:00:00 PM,11.334,925.7,,,,
107,09/19/18 07:00:00 PM,10.259,10.8,,,,
108,09/19/18 10:00:00 PM,9.176,0.0,,,,
109,09/20/18 01:00:00 AM,8.182,0.0,,,,
110,09/20/18 04:00:00 AM,7.481,0.0,,,,
111,09/20/18 07:00:00 AM,7.179,0.0,,,,
112,09/20/18 10:00:00 AM,8.082,914.9,,,,
113,09/20/18 01:00:00 PM,9.571,1550.0,,,,
114,09/20/18 04:00:00 PM,11.139,1377.8,,,,
115,09/20/18 07:00:00 PM,10.553,0.0,,,,
116,09/20/18 10:00:00 PM,9.965,0.0,,,,
117,09/21/18 01:00:00 AM,9.866,0.0,,,,
118,09/21/18 04:00:00 AM,9.176,0.0,,,,
119,09/21/18 07:00:00 AM,8.779,21.5,,,,
120,09/21/18 10:00:00 AM,9.669,538.2,,,,
121,09/21/18 01:00:00 PM,12.594,1808.3,,,,
122,09/21/18 04:00:00 PM,13.654,688.9,,,,
123,09/21/18 07:00:00 PM,12.980,10.8,,,,
124,09/21/18 10:00:00 PM,12.013,0.0,,,,
125,09/22/18 01:00:00 AM,11.334,0.0,,,,
126,09/22/18 04:00:00 AM,10.259,0.0,,,,
127,09/22/18 07:00:00 AM,9.768,0.0,,,,
128,09/22/18 10:00:00 AM,10.161,796.5,,,,
