"Plot Title: AG05-S4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10578649, SEN S/N: 10578649, LBL: C)","Intensity, Lux (LGR S/N: 10578649, SEN S/N: 10578649, LBL: Lux)","End Of File (LGR S/N: 10578649)"
1,09/06/18 01:00:00 PM,20.805,3788.9,
2,09/06/18 04:00:00 PM,21.951,3272.2,
3,09/06/18 07:00:00 PM,19.092,387.5,
4,09/06/18 10:00:00 PM,15.473,0.0,
5,09/07/18 01:00:00 AM,13.461,0.0,
6,09/07/18 04:00:00 AM,12.497,0.0,
7,09/07/18 07:00:00 AM,12.110,96.9,
8,09/07/18 10:00:00 AM,13.750,1097.9,
9,09/07/18 01:00:00 PM,20.138,3272.2,
10,09/07/18 04:00:00 PM,22.142,2755.6,
11,09/07/18 07:00:00 PM,15.951,441.3,
12,09/07/18 10:00:00 PM,13.269,0.0,
13,09/08/18 01:00:00 AM,12.401,0.0,
14,09/08/18 04:00:00 AM,11.236,0.0,
15,09/08/18 07:00:00 AM,10.651,96.9,
16,09/08/18 10:00:00 AM,13.076,4477.8,
17,09/08/18 01:00:00 PM,16.237,7577.8,
18,09/08/18 04:00:00 PM,15.282,4305.6,
19,09/08/18 07:00:00 PM,12.883,376.7,
20,09/08/18 10:00:00 PM,11.334,0.0,
21,09/09/18 01:00:00 AM,10.455,0.0,
22,09/09/18 04:00:00 AM,10.161,0.0,
23,09/09/18 07:00:00 AM,9.866,64.6,
24,09/09/18 10:00:00 AM,11.139,1054.9,
25,09/09/18 01:00:00 PM,16.237,5166.7,
26,09/09/18 04:00:00 PM,17.284,4477.8,
27,09/09/18 07:00:00 PM,14.325,516.7,
28,09/09/18 10:00:00 PM,13.076,0.0,
29,09/10/18 01:00:00 AM,12.401,0.0,
30,09/10/18 04:00:00 AM,10.455,0.0,
31,09/10/18 07:00:00 AM,8.779,290.6,
32,09/10/18 10:00:00 AM,9.965,3272.2,
33,09/10/18 01:00:00 PM,11.819,5338.9,
34,09/10/18 04:00:00 PM,11.916,2927.8,
35,09/10/18 07:00:00 PM,10.259,118.4,
36,09/10/18 10:00:00 PM,9.768,0.0,
37,09/11/18 01:00:00 AM,9.472,0.0,
38,09/11/18 04:00:00 AM,8.978,0.0,
39,09/11/18 07:00:00 AM,8.779,129.2,
40,09/11/18 10:00:00 AM,9.965,3788.9,
41,09/11/18 01:00:00 PM,12.013,8611.2,
42,09/11/18 04:00:00 PM,11.528,6200.0,
43,09/11/18 07:00:00 PM,9.373,161.5,
44,09/11/18 10:00:00 PM,8.182,0.0,
45,09/12/18 01:00:00 AM,8.282,0.0,
46,09/12/18 04:00:00 AM,8.182,0.0,
47,09/12/18 07:00:00 AM,8.182,96.9,
48,09/12/18 10:00:00 AM,8.779,1377.8,
49,09/12/18 01:00:00 PM,11.431,3444.5,
50,09/12/18 04:00:00 PM,11.041,4477.8,
51,09/12/18 07:00:00 PM,9.077,893.4,
52,09/12/18 10:00:00 PM,7.179,0.0,
53,09/13/18 01:00:00 AM,7.280,0.0,
54,09/13/18 04:00:00 AM,7.179,0.0,
55,09/13/18 07:00:00 AM,7.381,53.8,
56,09/13/18 10:00:00 AM,9.176,2927.8,
57,09/13/18 01:00:00 PM,11.722,7233.4,
58,09/13/18 04:00:00 PM,11.236,4133.4,
59,09/13/18 07:00:00 PM,9.965,269.1,
60,09/13/18 10:00:00 PM,8.879,0.0,
61,09/14/18 01:00:00 AM,7.682,0.0,
62,09/14/18 04:00:00 AM,7.582,0.0,
63,09/14/18 07:00:00 AM,7.782,150.7,
64,09/14/18 10:00:00 AM,8.978,3272.2,
65,09/14/18 01:00:00 PM,11.528,4477.8,
66,09/14/18 04:00:00 PM,12.207,4650.0,
67,09/14/18 07:00:00 PM,10.259,247.6,
68,09/14/18 10:00:00 PM,8.779,0.0,
69,09/15/18 01:00:00 AM,7.782,0.0,
70,09/15/18 04:00:00 AM,7.381,0.0,
71,09/15/18 07:00:00 AM,7.179,129.2,
72,09/15/18 10:00:00 AM,9.472,4305.6,
73,09/15/18 01:00:00 PM,12.304,9300.1,
74,09/15/18 04:00:00 PM,10.748,968.8,
75,09/15/18 07:00:00 PM,9.472,107.6,
76,09/15/18 10:00:00 PM,8.182,0.0,
77,09/16/18 01:00:00 AM,7.983,0.0,
78,09/16/18 04:00:00 AM,7.882,0.0,
79,09/16/18 07:00:00 AM,7.782,21.5,
80,09/16/18 10:00:00 AM,7.782,2066.7,
81,09/16/18 01:00:00 PM,8.581,1550.0,
82,09/16/18 04:00:00 PM,9.373,1980.6,
83,09/16/18 07:00:00 PM,8.382,473.6,
84,09/16/18 10:00:00 PM,7.782,0.0,
85,09/17/18 01:00:00 AM,7.381,0.0,
86,09/17/18 04:00:00 AM,6.064,0.0,
87,09/17/18 07:00:00 AM,5.860,86.1,
88,09/17/18 10:00:00 AM,5.450,925.7,
89,09/17/18 01:00:00 PM,8.978,2927.8,
90,09/17/18 04:00:00 PM,10.748,2755.6,
91,09/17/18 07:00:00 PM,9.472,172.2,
92,09/17/18 10:00:00 PM,8.680,0.0,
93,09/18/18 01:00:00 AM,8.082,0.0,
94,09/18/18 04:00:00 AM,7.582,0.0,
95,09/18/18 07:00:00 AM,7.280,53.8,
96,09/18/18 10:00:00 AM,7.079,871.9,
97,09/18/18 01:00:00 PM,10.259,2755.6,
98,09/18/18 04:00:00 PM,12.207,2497.2,
99,09/18/18 07:00:00 PM,10.553,96.9,
100,09/18/18 10:00:00 PM,8.581,0.0,
101,09/19/18 01:00:00 AM,7.782,0.0,
102,09/19/18 04:00:00 AM,7.582,0.0,
103,09/19/18 07:00:00 AM,7.882,32.3,
104,09/19/18 10:00:00 AM,9.176,1194.8,
105,09/19/18 01:00:00 PM,10.846,2669.5,
106,09/19/18 04:00:00 PM,12.110,2497.2,
107,09/19/18 07:00:00 PM,10.063,75.3,
108,09/19/18 10:00:00 PM,8.879,0.0,
109,09/20/18 01:00:00 AM,7.682,0.0,
110,09/20/18 04:00:00 AM,6.775,0.0,
111,09/20/18 07:00:00 AM,6.877,32.3,
112,09/20/18 10:00:00 AM,8.382,3272.2,
113,09/20/18 01:00:00 PM,11.236,6544.5,
114,09/20/18 04:00:00 PM,12.980,6200.0,
115,09/20/18 07:00:00 PM,11.041,75.3,
116,09/20/18 10:00:00 PM,10.063,0.0,
117,09/21/18 01:00:00 AM,9.866,0.0,
118,09/21/18 04:00:00 AM,8.879,0.0,
119,09/21/18 07:00:00 AM,8.282,129.2,
120,09/21/18 10:00:00 AM,10.063,2325.0,
121,09/21/18 01:00:00 PM,14.900,6200.0,
122,09/21/18 04:00:00 PM,15.760,2927.8,
123,09/21/18 07:00:00 PM,13.558,75.3,
124,09/21/18 10:00:00 PM,12.207,0.0,
125,09/22/18 01:00:00 AM,11.334,0.0,
126,09/22/18 04:00:00 AM,10.161,0.0,
127,09/22/18 07:00:00 AM,9.669,10.8,
128,09/22/18 10:00:00 AM,10.553,3100.0,
129,09/22/18 01:00:00 PM,11.431,3444.5,
130,09/22/18 04:00:00 PM,11.041,1980.6,
131,09/22/18 07:00:00 PM,9.571,43.1,
132,09/22/18 10:00:00 PM,7.882,0.0,
133,09/23/18 01:00:00 AM,6.471,0.0,
134,09/23/18 04:00:00 AM,5.141,0.0,
135,09/23/18 07:00:00 AM,4.207,43.1,
136,09/23/18 10:00:00 AM,4.623,861.1,
137,09/23/18 01:00:00 PM,8.282,6200.0,
138,09/23/18 04:00:00 PM,8.481,1550.0,
139,09/23/18 07:00:00 PM,7.280,86.1,
140,09/23/18 10:00:00 PM,5.655,0.0,
141,09/24/18 01:00:00 AM,5.347,0.0,
142,09/24/18 04:00:00 AM,4.207,0.0,
143,09/24/18 07:00:00 AM,3.578,43.1,
144,09/24/18 10:00:00 AM,4.623,742.7,
145,09/24/18 01:00:00 PM,8.481,2411.1,
146,09/24/18 04:00:00 PM,12.207,2238.9,
147,09/24/18 07:00:00 PM,10.063,43.1,
148,09/24/18 10:00:00 PM,7.882,0.0,
149,09/25/18 01:00:00 AM,7.179,0.0,
150,09/25/18 04:00:00 AM,6.775,0.0,
151,09/25/18 07:00:00 AM,6.674,32.3,
152,09/25/18 10:00:00 AM,7.682,785.8,
153,09/25/18 01:00:00 PM,11.528,2411.1,
154,09/25/18 04:00:00 PM,14.517,2325.0,
155,09/25/18 07:00:00 PM,12.013,53.8,
156,09/25/18 10:00:00 PM,9.965,0.0,
157,09/26/18 01:00:00 AM,9.472,0.0,
158,09/26/18 04:00:00 AM,9.176,0.0,
159,09/26/18 07:00:00 AM,8.978,10.8,
160,09/26/18 10:00:00 AM,9.768,688.9,
161,09/26/18 01:00:00 PM,13.173,2325.0,
162,09/26/18 04:00:00 PM,15.855,2152.8,
163,09/26/18 07:00:00 PM,13.846,32.3,
164,09/26/18 10:00:00 PM,11.819,0.0,
165,09/27/18 01:00:00 AM,11.139,0.0,
166,09/27/18 04:00:00 AM,10.748,0.0,
167,09/27/18 07:00:00 AM,10.553,21.5,
168,09/27/18 10:00:00 AM,11.625,688.9,
169,09/27/18 01:00:00 PM,14.996,2238.9,
170,09/27/18 04:00:00 PM,17.189,2152.8,
171,09/27/18 07:00:00 PM,14.900,21.5,
172,09/27/18 10:00:00 PM,13.461,0.0,
173,09/28/18 01:00:00 AM,12.883,0.0,
174,09/28/18 04:00:00 AM,12.401,0.0,
175,09/28/18 07:00:00 AM,11.722,32.3,
176,09/28/18 10:00:00 AM,11.916,678.1,
177,09/28/18 01:00:00 PM,15.187,2238.9,
178,09/28/18 04:00:00 PM,17.570,2152.8,
179,09/28/18 07:00:00 PM,15.664,21.5,
180,09/28/18 10:00:00 PM,13.461,0.0,
181,09/29/18 01:00:00 AM,12.594,0.0,
182,09/29/18 04:00:00 AM,11.625,0.0,
183,09/29/18 07:00:00 AM,11.041,21.5,
184,09/29/18 10:00:00 AM,11.431,839.6,
185,09/29/18 01:00:00 PM,15.187,4477.8,
186,09/29/18 04:00:00 PM,14.804,2325.0,
187,09/29/18 07:00:00 PM,11.916,0.0,
188,09/29/18 10:00:00 PM,10.455,0.0,
189,09/30/18 01:00:00 AM,8.481,0.0,
190,09/30/18 04:00:00 AM,8.082,0.0,
191,09/30/18 07:00:00 AM,7.983,10.8,
192,09/30/18 10:00:00 AM,9.077,344.4,
193,09/30/18 01:00:00 PM,10.651,1367.0,
194,09/30/18 04:00:00 PM,11.041,1302.4,
195,09/30/18 07:00:00 PM,10.357,0.0,
196,09/30/18 10:00:00 PM,9.669,0.0,
197,10/01/18 01:00:00 AM,9.571,0.0,
198,10/01/18 04:00:00 AM,9.373,0.0,
199,10/01/18 07:00:00 AM,9.077,0.0,
200,10/01/18 10:00:00 AM,10.161,1377.8,
201,10/01/18 01:00:00 PM,12.883,5338.9,
202,10/01/18 04:00:00 PM,12.013,1076.4,
203,10/01/18 07:00:00 PM,10.846,0.0,
204,10/01/18 10:00:00 PM,10.553,0.0,
205,10/02/18 01:00:00 AM,10.357,0.0,
206,10/02/18 04:00:00 AM,10.063,0.0,
207,10/02/18 07:00:00 AM,9.275,0.0,
208,10/02/18 10:00:00 AM,9.866,2755.6,
209,10/02/18 01:00:00 PM,9.866,4994.5,
210,10/02/18 04:00:00 PM,7.983,3100.0,
211,10/02/18 07:00:00 PM,6.471,0.0,
212,10/02/18 10:00:00 PM,4.623,0.0,
213,10/03/18 01:00:00 AM,3.472,0.0,
214,10/03/18 04:00:00 AM,2.517,0.0,
215,10/03/18 07:00:00 AM,1.764,10.8,
216,10/03/18 10:00:00 AM,2.624,828.8,
217,10/03/18 01:00:00 PM,7.079,4994.5,
218,10/03/18 04:00:00 PM,9.176,3272.2,
219,10/03/18 07:00:00 PM,6.775,0.0,
220,10/03/18 10:00:00 PM,6.064,0.0,
221,10/04/18 01:00:00 AM,5.860,0.0,
222,10/04/18 04:00:00 AM,4.831,0.0,
223,10/04/18 07:00:00 AM,5.244,0.0,
224,10/04/18 10:00:00 AM,5.244,602.8,
225,10/04/18 01:00:00 PM,9.176,4305.6,
226,10/04/18 04:00:00 PM,8.779,2238.9,
227,10/04/18 07:00:00 PM,7.179,0.0,
228,10/04/18 10:00:00 PM,4.934,0.0,
229,10/05/18 01:00:00 AM,3.788,0.0,
230,10/05/18 04:00:00 AM,3.367,0.0,
231,10/05/18 07:00:00 AM,4.207,0.0,
232,10/05/18 10:00:00 AM,5.141,979.5,
