"Plot Title: AG05-S5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10517323, SEN S/N: 10517323, LBL: C)","Intensity, Lux (LGR S/N: 10517323, SEN S/N: 10517323, LBL: Lux)","Coupler Attached (LGR S/N: 10517323)","Stopped (LGR S/N: 10517323)","End Of File (LGR S/N: 10517323)"
1,09/06/18 01:00:00 PM,20.710,5166.7,,,
2,09/06/18 04:00:00 PM,21.855,2497.2,,,
3,09/06/18 07:00:00 PM,19.377,247.6,,,
4,09/06/18 10:00:00 PM,15.951,0.0,,,
5,09/07/18 01:00:00 AM,14.038,0.0,,,
6,09/07/18 04:00:00 AM,13.173,0.0,,,
7,09/07/18 07:00:00 AM,12.690,43.1,,,
8,09/07/18 10:00:00 AM,14.134,645.8,,,
9,09/07/18 01:00:00 PM,19.853,27555.7,,,
10,09/07/18 04:00:00 PM,22.046,1808.3,,,
11,09/07/18 07:00:00 PM,16.618,247.6,,,
12,09/07/18 10:00:00 PM,13.846,0.0,,,
13,09/08/18 01:00:00 AM,12.883,0.0,,,
14,09/08/18 04:00:00 AM,11.625,0.0,,,
15,09/08/18 07:00:00 AM,11.139,43.1,,,
16,09/08/18 10:00:00 AM,12.980,2238.9,,,
17,09/08/18 01:00:00 PM,15.664,5166.7,,,
18,09/08/18 04:00:00 PM,14.900,3100.0,,,
19,09/08/18 07:00:00 PM,13.173,193.8,,,
20,09/08/18 10:00:00 PM,11.722,0.0,,,
21,09/09/18 01:00:00 AM,10.846,0.0,,,
22,09/09/18 04:00:00 AM,10.553,0.0,,,
23,09/09/18 07:00:00 AM,10.357,32.3,,,
24,09/09/18 10:00:00 AM,11.334,592.0,,,
25,09/09/18 01:00:00 PM,15.664,6200.0,,,
26,09/09/18 04:00:00 PM,16.427,2411.1,,,
27,09/09/18 07:00:00 PM,14.517,247.6,,,
28,09/09/18 10:00:00 PM,13.269,0.0,,,
29,09/10/18 01:00:00 AM,12.594,0.0,,,
30,09/10/18 04:00:00 AM,10.748,0.0,,,
31,09/10/18 07:00:00 AM,8.978,139.9,,,
32,09/10/18 10:00:00 AM,9.866,1722.2,,,
33,09/10/18 01:00:00 PM,11.236,2755.6,,,
34,09/10/18 04:00:00 PM,11.431,1377.8,,,
35,09/10/18 07:00:00 PM,10.259,43.1,,,
36,09/10/18 10:00:00 PM,9.866,0.0,,,
37,09/11/18 01:00:00 AM,9.571,0.0,,,
38,09/11/18 04:00:00 AM,9.077,0.0,,,
39,09/11/18 07:00:00 AM,8.879,64.6,,,
40,09/11/18 10:00:00 AM,9.669,1636.1,,,
41,09/11/18 01:00:00 PM,11.236,3961.1,,,
