"Plot Title: AM16-S6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10163345, SEN S/N: 10163345, LBL: C)","Intensity, Lux (LGR S/N: 10163345, SEN S/N: 10163345, LBL: Lux)","Bad Battery (LGR S/N: 10163345)","Coupler Attached (LGR S/N: 10163345)","Host Connected (LGR S/N: 10163345)","Stopped (LGR S/N: 10163345)","End Of File (LGR S/N: 10163345)"
1,09/06/18 01:00:00 PM,16.618,2669.5,,,,,
2,09/06/18 04:00:00 PM,18.140,2152.8,,,,,
3,09/06/18 07:00:00 PM,15.855,86.1,,,,,
4,09/06/18 10:00:00 PM,12.401,0.0,,,,,
5,09/07/18 01:00:00 AM,10.748,0.0,,,,,
6,09/07/18 04:00:00 AM,10.259,0.0,,,,,
7,09/07/18 07:00:00 AM,9.866,21.5,,,,,
8,09/07/18 10:00:00 AM,11.236,559.7,,,,,
9,09/07/18 01:00:00 PM,15.855,2411.1,,,,,
10,09/07/18 04:00:00 PM,18.236,2497.2,,,,,
11,09/07/18 07:00:00 PM,14.134,419.8,,,,,
12,09/07/18 10:00:00 PM,11.819,0.0,,,,,
13,09/08/18 01:00:00 AM,11.041,0.0,,,,,
14,09/08/18 04:00:00 AM,9.965,0.0,,,,,
15,09/08/18 07:00:00 AM,9.472,43.1,,,,,
16,09/08/18 10:00:00 AM,10.553,1636.1,,,,,
17,09/08/18 01:00:00 PM,12.401,2755.6,,,,,
18,09/08/18 04:00:00 PM,11.916,2152.8,,,,,
19,09/08/18 07:00:00 PM,10.748,107.6,,,,,
20,09/08/18 10:00:00 PM,9.275,0.0,,,,,
21,09/09/18 01:00:00 AM,8.680,0.0,,,,,
22,09/09/18 04:00:00 AM,8.481,0.0,,,,,
23,09/09/18 07:00:00 AM,7.983,10.8,,,,,
24,09/09/18 10:00:00 AM,9.176,505.9,,,,,
25,09/09/18 01:00:00 PM,13.750,4822.3,,,,,
26,09/09/18 04:00:00 PM,12.980,1345.5,,,,,
27,09/09/18 07:00:00 PM,12.207,226.0,,,,,
28,09/09/18 10:00:00 PM,10.944,0.0,,,,,
29,09/10/18 01:00:00 AM,10.651,0.0,,,,,
30,09/10/18 04:00:00 AM,9.571,0.0,,,,,
31,09/10/18 07:00:00 AM,8.581,75.3,,,,,
32,09/10/18 10:00:00 AM,8.680,882.6,,,,,
33,09/10/18 01:00:00 PM,9.571,2755.6,,,,,
34,09/10/18 04:00:00 PM,9.768,376.7,,,,,
35,09/10/18 07:00:00 PM,8.978,53.8,,,,,
36,09/10/18 10:00:00 PM,8.282,0.0,,,,,
37,09/11/18 01:00:00 AM,7.782,0.0,,,,,
38,09/11/18 04:00:00 AM,7.481,0.0,,,,,
39,09/11/18 07:00:00 AM,7.381,43.1,,,,,
40,09/11/18 10:00:00 AM,8.182,1377.8,,,,,
41,09/11/18 01:00:00 PM,9.373,4305.6,,,,,
42,09/11/18 04:00:00 PM,9.472,2066.7,,,,,
43,09/11/18 07:00:00 PM,8.082,32.3,,,,,
44,09/11/18 10:00:00 PM,7.179,0.0,,,,,
45,09/12/18 01:00:00 AM,7.179,0.0,,,,,
46,09/12/18 04:00:00 AM,7.280,0.0,,,,,
47,09/12/18 07:00:00 AM,7.179,32.3,,,,,
48,09/12/18 10:00:00 AM,8.082,2238.9,,,,,
49,09/12/18 01:00:00 PM,9.373,3272.2,,,,,
50,09/12/18 04:00:00 PM,9.275,1636.1,,,,,
51,09/12/18 07:00:00 PM,7.882,279.9,,,,,
52,09/12/18 10:00:00 PM,6.166,0.0,,,,,
53,09/13/18 01:00:00 AM,6.064,0.0,,,,,
54,09/13/18 04:00:00 AM,6.064,0.0,,,,,
55,09/13/18 07:00:00 AM,6.268,96.9,,,,,
56,09/13/18 10:00:00 AM,7.481,1636.1,,,,,
57,09/13/18 01:00:00 PM,8.978,1808.3,,,,,
58,09/13/18 04:00:00 PM,9.373,2755.6,,,,,
59,09/13/18 07:00:00 PM,8.481,32.3,,,,,
60,09/13/18 10:00:00 PM,7.582,0.0,,,,,
61,09/14/18 01:00:00 AM,6.471,0.0,,,,,
62,09/14/18 04:00:00 AM,6.064,0.0,,,,,
63,09/14/18 07:00:00 AM,6.573,43.1,,,,,
64,09/14/18 10:00:00 AM,7.280,807.3,,,,,
65,09/14/18 01:00:00 PM,9.176,2325.0,,,,,
66,09/14/18 04:00:00 PM,10.161,2497.2,,,,,
67,09/14/18 07:00:00 PM,7.079,0.0,,,,,
68,09/14/18 10:00:00 PM,7.079,0.0,,,,,
69,09/15/18 01:00:00 AM,6.471,0.0,,,,,
70,09/15/18 04:00:00 AM,5.962,0.0,,,,,
71,09/15/18 07:00:00 AM,5.552,53.8,,,,,
72,09/15/18 10:00:00 AM,6.877,1463.9,,,,,
73,09/15/18 01:00:00 PM,8.879,3100.0,,,,,
74,09/15/18 04:00:00 PM,8.581,882.6,,,,,
75,09/15/18 07:00:00 PM,7.983,53.8,,,,,
76,09/15/18 10:00:00 PM,6.877,0.0,,,,,
77,09/16/18 01:00:00 AM,6.775,0.0,,,,,
78,09/16/18 04:00:00 AM,6.674,0.0,,,,,
79,09/16/18 07:00:00 AM,6.268,0.0,,,,,
80,09/16/18 10:00:00 AM,5.552,441.3,,,,,
81,09/16/18 01:00:00 PM,6.370,893.4,,,,,
82,09/16/18 04:00:00 PM,7.079,1141.0,,,,,
