"Plot Title: A003-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10574927, SEN S/N: 10574927, LBL: C)","Intensity, Lux (LGR S/N: 10574927, SEN S/N: 10574927, LBL: Lux)","Coupler Attached (LGR S/N: 10574927)","Host Connected (LGR S/N: 10574927)","Stopped (LGR S/N: 10574927)","End Of File (LGR S/N: 10574927)"
1,09/13/18 01:00:00 PM,10.259,3788.9,,,,
2,09/13/18 04:00:00 PM,10.161,1291.7,,,,
3,09/13/18 07:00:00 PM,9.965,75.3,,,,
4,09/13/18 10:00:00 PM,9.373,0.0,,,,
5,09/14/18 01:00:00 AM,8.978,0.0,,,,
6,09/14/18 04:00:00 AM,8.481,0.0,,,,
7,09/14/18 07:00:00 AM,8.082,32.3,,,,
8,09/14/18 10:00:00 AM,8.978,1636.1,,,,
9,09/14/18 01:00:00 PM,11.236,2411.1,,,,
10,09/14/18 04:00:00 PM,12.207,3100.0,,,,
11,09/14/18 07:00:00 PM,10.944,64.6,,,,
12,09/14/18 10:00:00 PM,9.472,0.0,,,,
13,09/15/18 01:00:00 AM,8.680,0.0,,,,
14,09/15/18 04:00:00 AM,8.581,0.0,,,,
15,09/15/18 07:00:00 AM,7.381,53.8,,,,
16,09/15/18 10:00:00 AM,8.581,2927.8,,,,
17,09/15/18 01:00:00 PM,11.916,4477.8,,,,
18,09/15/18 04:00:00 PM,11.431,1550.0,,,,
19,09/15/18 07:00:00 PM,10.259,150.7,,,,
20,09/15/18 10:00:00 PM,9.077,0.0,,,,
21,09/16/18 01:00:00 AM,8.779,0.0,,,,
22,09/16/18 04:00:00 AM,8.481,0.0,,,,
23,09/16/18 07:00:00 AM,8.082,10.8,,,,
24,09/16/18 10:00:00 AM,7.882,1894.5,,,,
25,09/16/18 01:00:00 PM,8.680,2325.0,,,,
26,09/16/18 04:00:00 PM,8.879,979.5,,,,
27,09/16/18 07:00:00 PM,8.182,10.8,,,,
28,09/16/18 10:00:00 PM,7.983,0.0,,,,
29,09/17/18 01:00:00 AM,7.582,0.0,,,,
30,09/17/18 04:00:00 AM,6.573,0.0,,,,
31,09/17/18 07:00:00 AM,5.757,32.3,,,,
32,09/17/18 10:00:00 AM,5.450,2325.0,,,,
33,09/17/18 01:00:00 PM,9.669,3100.0,,,,
34,09/17/18 04:00:00 PM,11.334,3961.1,,,,
35,09/17/18 07:00:00 PM,9.768,43.1,,,,
36,09/17/18 10:00:00 PM,9.176,0.0,,,,
37,09/18/18 01:00:00 AM,8.382,0.0,,,,
38,09/18/18 04:00:00 AM,6.573,0.0,,,,
39,09/18/18 07:00:00 AM,4.934,32.3,,,,
40,09/18/18 10:00:00 AM,5.450,2152.8,,,,
41,09/18/18 01:00:00 PM,11.236,2755.6,,,,
42,09/18/18 04:00:00 PM,14.325,55111.5,,,,
43,09/18/18 07:00:00 PM,11.139,43.1,,,,
44,09/18/18 10:00:00 PM,9.669,0.0,,,,
45,09/19/18 01:00:00 AM,7.882,0.0,,,,
46,09/19/18 04:00:00 AM,7.682,0.0,,,,
47,09/19/18 07:00:00 AM,7.882,10.8,,,,
48,09/19/18 10:00:00 AM,8.978,1205.6,,,,
49,09/19/18 01:00:00 PM,10.846,3616.7,,,,
50,09/19/18 04:00:00 PM,13.558,12400.1,,,,
51,09/19/18 07:00:00 PM,11.236,21.5,,,,
52,09/19/18 10:00:00 PM,9.472,0.0,,,,
53,09/20/18 01:00:00 AM,9.176,0.0,,,,
54,09/20/18 04:00:00 AM,7.882,0.0,,,,
55,09/20/18 07:00:00 AM,7.381,0.0,,,,
56,09/20/18 10:00:00 AM,8.481,1636.1,,,,
57,09/20/18 01:00:00 PM,10.553,5166.7,,,,
58,09/20/18 04:00:00 PM,12.207,1808.3,,,,
59,09/20/18 07:00:00 PM,11.041,10.8,,,,
60,09/20/18 10:00:00 PM,10.357,0.0,,,,
61,09/21/18 01:00:00 AM,9.866,0.0,,,,
62,09/21/18 04:00:00 AM,9.373,0.0,,,,
63,09/21/18 07:00:00 AM,7.983,43.1,,,,
64,09/21/18 10:00:00 AM,8.680,2238.9,,,,
65,09/21/18 01:00:00 PM,13.173,2238.9,,,,
66,09/21/18 04:00:00 PM,14.517,1550.0,,,,
67,09/21/18 07:00:00 PM,12.980,32.3,,,,
68,09/21/18 10:00:00 PM,11.819,0.0,,,,
69,09/22/18 01:00:00 AM,11.139,0.0,,,,
70,09/22/18 04:00:00 AM,9.965,0.0,,,,
71,09/22/18 07:00:00 AM,9.571,0.0,,,,
72,09/22/18 10:00:00 AM,10.063,1463.9,,,,
73,09/22/18 01:00:00 PM,11.139,1808.3,,,,
74,09/22/18 04:00:00 PM,11.139,1033.3,,,,
75,09/22/18 07:00:00 PM,9.571,0.0,,,,
76,09/22/18 10:00:00 PM,8.282,0.0,,,,
77,09/23/18 01:00:00 AM,7.381,0.0,,,,
78,09/23/18 04:00:00 AM,6.573,0.0,,,,
79,09/23/18 07:00:00 AM,5.655,21.5,,,,
80,09/23/18 10:00:00 AM,6.573,1377.8,,,,
81,09/23/18 01:00:00 PM,8.581,4477.8,,,,
82,09/23/18 04:00:00 PM,8.978,1980.6,,,,
83,09/23/18 07:00:00 PM,7.782,10.8,,,,
84,09/23/18 10:00:00 PM,5.552,0.0,,,,
85,09/24/18 01:00:00 AM,4.207,0.0,,,,
86,09/24/18 04:00:00 AM,3.261,0.0,,,,
87,09/24/18 07:00:00 AM,2.624,10.8,,,,
88,09/24/18 10:00:00 AM,3.472,1980.6,,,,
89,09/24/18 01:00:00 PM,9.373,2755.6,,,,
90,09/24/18 04:00:00 PM,11.819,1011.8,,,,
91,09/24/18 07:00:00 PM,9.768,10.8,,,,
92,09/24/18 10:00:00 PM,7.481,0.0,,,,
93,09/25/18 01:00:00 AM,5.757,0.0,,,,
94,09/25/18 04:00:00 AM,4.727,0.0,,,,
95,09/25/18 07:00:00 AM,4.311,10.8,,,,
96,09/25/18 10:00:00 AM,5.141,2066.7,,,,
97,09/25/18 01:00:00 PM,11.431,2755.6,,,,
98,09/25/18 04:00:00 PM,13.461,893.4,,,,
99,09/25/18 07:00:00 PM,10.455,10.8,,,,
100,09/25/18 10:00:00 PM,8.282,0.0,,,,
101,09/26/18 01:00:00 AM,7.280,0.0,,,,
102,09/26/18 04:00:00 AM,6.573,0.0,,,,
103,09/26/18 07:00:00 AM,6.064,0.0,,,,
104,09/26/18 10:00:00 AM,6.471,1894.5,,,,
105,09/26/18 01:00:00 PM,13.076,2669.5,,,,
106,09/26/18 04:00:00 PM,15.282,764.2,,,,
107,09/26/18 07:00:00 PM,12.110,0.0,,,,
108,09/26/18 10:00:00 PM,10.063,0.0,,,,
109,09/27/18 01:00:00 AM,8.680,0.0,,,,
110,09/27/18 04:00:00 AM,8.182,0.0,,,,
111,09/27/18 07:00:00 AM,7.983,0.0,,,,
112,09/27/18 10:00:00 AM,8.779,1808.3,,,,
113,09/27/18 01:00:00 PM,15.091,2583.4,,,,
114,09/27/18 04:00:00 PM,17.950,721.2,,,,
115,09/27/18 07:00:00 PM,14.230,0.0,,,,
116,09/27/18 10:00:00 PM,11.916,0.0,,,,
117,09/28/18 01:00:00 AM,10.161,0.0,,,,
118,09/28/18 04:00:00 AM,9.275,0.0,,,,
119,09/28/18 07:00:00 AM,8.680,10.8,,,,
120,09/28/18 10:00:00 AM,8.779,1808.3,,,,
121,09/28/18 01:00:00 PM,14.325,2669.5,,,,
122,09/28/18 04:00:00 PM,16.046,678.1,,,,
123,09/28/18 07:00:00 PM,13.173,0.0,,,,
124,09/28/18 10:00:00 PM,11.139,0.0,,,,
125,09/29/18 01:00:00 AM,9.768,0.0,,,,
126,09/29/18 04:00:00 AM,8.879,0.0,,,,
127,09/29/18 07:00:00 AM,8.082,0.0,,,,
128,09/29/18 10:00:00 AM,8.481,1980.6,,,,
129,09/29/18 01:00:00 PM,12.690,2583.4,,,,
130,09/29/18 04:00:00 PM,14.325,1722.2,,,,
131,09/29/18 07:00:00 PM,12.110,0.0,,,,
132,09/29/18 10:00:00 PM,10.748,0.0,,,,
133,09/30/18 01:00:00 AM,9.176,0.0,,,,
134,09/30/18 04:00:00 AM,7.079,0.0,,,,
135,09/30/18 07:00:00 AM,6.064,0.0,,,,
136,09/30/18 10:00:00 AM,7.179,1377.8,,,,
137,09/30/18 01:00:00 PM,8.879,904.2,,,,
138,09/30/18 04:00:00 PM,9.669,990.3,,,,
139,09/30/18 07:00:00 PM,9.373,0.0,,,,
140,09/30/18 10:00:00 PM,9.077,0.0,,,,
141,10/01/18 01:00:00 AM,8.879,0.0,,,,
142,10/01/18 04:00:00 AM,8.978,0.0,,,,
143,10/01/18 07:00:00 AM,8.879,0.0,,,,
144,10/01/18 10:00:00 AM,9.275,355.2,,,,
145,10/01/18 01:00:00 PM,10.455,1636.1,,,,
146,10/01/18 04:00:00 PM,10.846,183.0,,,,
147,10/01/18 07:00:00 PM,10.455,0.0,,,,
148,10/01/18 10:00:00 PM,10.455,0.0,,,,
149,10/02/18 01:00:00 AM,10.455,0.0,,,,
150,10/02/18 04:00:00 AM,10.063,0.0,,,,
151,10/02/18 07:00:00 AM,8.978,0.0,,,,
152,10/02/18 10:00:00 AM,9.275,1044.1,,,,
153,10/02/18 01:00:00 PM,10.357,4822.3,,,,
154,10/02/18 04:00:00 PM,8.581,1550.0,,,,
155,10/02/18 07:00:00 PM,6.978,0.0,,,,
156,10/02/18 10:00:00 PM,5.757,0.0,,,,
157,10/03/18 01:00:00 AM,3.893,0.0,,,,
158,10/03/18 04:00:00 AM,3.472,0.0,,,,
159,10/03/18 07:00:00 AM,1.980,0.0,,,,
160,10/03/18 10:00:00 AM,1.980,947.2,,,,
161,10/03/18 01:00:00 PM,7.481,2152.8,,,,
162,10/03/18 04:00:00 PM,9.176,1550.0,,,,
163,10/03/18 07:00:00 PM,7.481,0.0,,,,
164,10/03/18 10:00:00 PM,6.268,0.0,,,,
165,10/04/18 01:00:00 AM,5.655,0.0,,,,
166,10/04/18 04:00:00 AM,4.519,0.0,,,,
167,10/04/18 07:00:00 AM,3.683,0.0,,,,
168,10/04/18 10:00:00 AM,4.415,796.5,,,,
169,10/04/18 01:00:00 PM,7.882,2066.7,,,,
170,10/04/18 04:00:00 PM,8.978,1001.0,,,,
171,10/04/18 07:00:00 PM,7.280,0.0,,,,
172,10/04/18 10:00:00 PM,6.370,0.0,,,,
173,10/05/18 01:00:00 AM,5.962,0.0,,,,
174,10/05/18 04:00:00 AM,5.141,0.0,,,,
175,10/05/18 07:00:00 AM,4.623,0.0,,,,
176,10/05/18 10:00:00 AM,5.347,602.8,,,,
177,10/05/18 01:00:00 PM,5.347,861.1,,,,
178,10/05/18 04:00:00 PM,4.311,430.6,,,,
179,10/05/18 07:00:00 PM,4.207,0.0,,,,
180,10/05/18 10:00:00 PM,4.311,0.0,,,,
181,10/06/18 01:00:00 AM,4.623,0.0,,,,
182,10/06/18 04:00:00 AM,4.727,0.0,,,,
183,10/06/18 07:00:00 AM,4.727,0.0,,,,
184,10/06/18 10:00:00 AM,5.655,624.3,,,,
185,10/06/18 01:00:00 PM,8.282,2669.5,,,,
