"Plot Title: AO03-S6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10574926, SEN S/N: 10574926, LBL: C)","Intensity, Lux (LGR S/N: 10574926, SEN S/N: 10574926, LBL: Lux)","Coupler Attached (LGR S/N: 10574926)","Host Connected (LGR S/N: 10574926)","Stopped (LGR S/N: 10574926)","End Of File (LGR S/N: 10574926)"
1,09/13/18 01:00:00 PM,10.944,4994.5,,,,
2,09/13/18 04:00:00 PM,10.748,1345.5,,,,
3,09/13/18 07:00:00 PM,10.553,86.1,,,,
4,09/13/18 10:00:00 PM,9.965,0.0,,,,
5,09/14/18 01:00:00 AM,9.669,0.0,,,,
6,09/14/18 04:00:00 AM,9.176,0.0,,,,
7,09/14/18 07:00:00 AM,8.779,32.3,,,,
8,09/14/18 10:00:00 AM,9.373,968.8,,,,
9,09/14/18 01:00:00 PM,11.625,2927.8,,,,
10,09/14/18 04:00:00 PM,11.916,1151.7,,,,
11,09/14/18 07:00:00 PM,11.431,64.6,,,,
12,09/14/18 10:00:00 PM,10.161,0.0,,,,
13,09/15/18 01:00:00 AM,9.472,0.0,,,,
14,09/15/18 04:00:00 AM,9.373,0.0,,,,
15,09/15/18 07:00:00 AM,8.282,43.1,,,,
16,09/15/18 10:00:00 AM,9.077,2325.0,,,,
17,09/15/18 01:00:00 PM,11.916,4305.6,,,,
18,09/15/18 04:00:00 PM,11.625,1119.5,,,,
19,09/15/18 07:00:00 PM,10.748,129.2,,,,
20,09/15/18 10:00:00 PM,9.965,0.0,,,,
21,09/16/18 01:00:00 AM,9.571,0.0,,,,
22,09/16/18 04:00:00 AM,9.176,0.0,,,,
23,09/16/18 07:00:00 AM,8.879,10.8,,,,
24,09/16/18 10:00:00 AM,8.978,1980.6,,,,
25,09/16/18 01:00:00 PM,9.669,2669.5,,,,
26,09/16/18 04:00:00 PM,9.669,1044.1,,,,
27,09/16/18 07:00:00 PM,9.176,10.8,,,,
28,09/16/18 10:00:00 PM,8.978,0.0,,,,
29,09/17/18 01:00:00 AM,8.082,0.0,,,,
30,09/17/18 04:00:00 AM,7.582,0.0,,,,
31,09/17/18 07:00:00 AM,6.978,32.3,,,,
32,09/17/18 10:00:00 AM,6.471,1636.1,,,,
33,09/17/18 01:00:00 PM,9.373,2238.9,,,,
34,09/17/18 04:00:00 PM,10.455,1001.0,,,,
35,09/17/18 07:00:00 PM,9.768,43.1,,,,
36,09/17/18 10:00:00 PM,9.373,0.0,,,,
37,09/18/18 01:00:00 AM,8.879,0.0,,,,
38,09/18/18 04:00:00 AM,7.481,0.0,,,,
39,09/18/18 07:00:00 AM,6.166,32.3,,,,
40,09/18/18 10:00:00 AM,6.370,1550.0,,,,
41,09/18/18 01:00:00 PM,10.259,1894.5,,,,
42,09/18/18 04:00:00 PM,11.625,592.0,,,,
43,09/18/18 07:00:00 PM,10.846,43.1,,,,
44,09/18/18 10:00:00 PM,9.866,0.0,,,,
45,09/19/18 01:00:00 AM,8.581,0.0,,,,
46,09/19/18 04:00:00 AM,8.382,0.0,,,,
47,09/19/18 07:00:00 AM,8.481,21.5,,,,
48,09/19/18 10:00:00 AM,9.373,1377.8,,,,
49,09/19/18 01:00:00 PM,10.846,2411.1,,,,
50,09/19/18 04:00:00 PM,12.304,2927.8,,,,
51,09/19/18 07:00:00 PM,11.334,21.5,,,,
52,09/19/18 10:00:00 PM,10.259,0.0,,,,
53,09/20/18 01:00:00 AM,9.866,0.0,,,,
54,09/20/18 04:00:00 AM,9.077,0.0,,,,
55,09/20/18 07:00:00 AM,8.680,10.8,,,,
56,09/20/18 10:00:00 AM,9.373,2152.8,,,,
57,09/20/18 01:00:00 PM,10.846,5511.1,,,,
58,09/20/18 04:00:00 PM,11.819,1980.6,,,,
59,09/20/18 07:00:00 PM,11.236,10.8,,,,
60,09/20/18 10:00:00 PM,10.748,0.0,,,,
61,09/21/18 01:00:00 AM,10.357,0.0,,,,
62,09/21/18 04:00:00 AM,9.965,0.0,,,,
63,09/21/18 07:00:00 AM,8.879,32.3,,,,
64,09/21/18 10:00:00 AM,9.176,1636.1,,,,
65,09/21/18 01:00:00 PM,12.401,2325.0,,,,
66,09/21/18 04:00:00 PM,13.365,796.5,,,,
67,09/21/18 07:00:00 PM,12.594,32.3,,,,
68,09/21/18 10:00:00 PM,11.916,0.0,,,,
