"Plot Title: AV06-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2409564, SEN S/N: 2409564, LBL: C)","Intensity, Lux (LGR S/N: 2409564, SEN S/N: 2409564, LBL: Lux)","Coupler Attached (LGR S/N: 2409564)","Coupler Detached (LGR S/N: 2409564)","Host Connected (LGR S/N: 2409564)","Stopped (LGR S/N: 2409564)","End Of File (LGR S/N: 2409564)"
1,09/06/18 01:00:00 PM,21.664,5166.7,,,,,
2,09/06/18 04:00:00 PM,23.966,3444.5,,,,,
3,09/06/18 07:00:00 PM,18.616,193.8,,,,,
4,09/06/18 10:00:00 PM,14.613,0.0,,,,,
5,09/07/18 01:00:00 AM,12.594,0.0,,,,,
6,09/07/18 04:00:00 AM,12.013,0.0,,,,,
7,09/07/18 07:00:00 AM,11.625,75.3,,,,,
8,09/07/18 10:00:00 AM,14.421,1980.6,,,,,
9,09/07/18 01:00:00 PM,20.710,4305.6,,,,,
10,09/07/18 04:00:00 PM,25.028,4477.8,,,,,
11,09/07/18 07:00:00 PM,16.808,430.6,,,,,
12,09/07/18 10:00:00 PM,13.269,0.0,,,,,
13,09/08/18 01:00:00 AM,12.013,0.0,,,,,
14,09/08/18 04:00:00 AM,10.748,0.0,,,,,
15,09/08/18 07:00:00 AM,10.357,53.8,,,,,
16,09/08/18 10:00:00 AM,12.110,2669.5,,,,,
17,09/08/18 01:00:00 PM,14.325,2755.6,,,,,
18,09/08/18 04:00:00 PM,14.900,5338.9,,,,,
19,09/08/18 07:00:00 PM,12.110,236.8,,,,,
20,09/08/18 10:00:00 PM,10.259,0.0,,,,,
21,09/09/18 01:00:00 AM,10.161,0.0,,,,,
22,09/09/18 04:00:00 AM,9.275,0.0,,,,,
23,09/09/18 07:00:00 AM,8.581,43.1,,,,,
24,09/09/18 10:00:00 AM,10.651,1463.9,,,,,
25,09/09/18 01:00:00 PM,17.570,7233.4,,,,,
26,09/09/18 04:00:00 PM,16.141,3961.1,,,,,
27,09/09/18 07:00:00 PM,14.230,462.9,,,,,
28,09/09/18 10:00:00 PM,12.787,0.0,,,,,
29,09/10/18 01:00:00 AM,12.013,0.0,,,,,
30,09/10/18 04:00:00 AM,10.161,0.0,,,,,
31,09/10/18 07:00:00 AM,8.581,53.8,,,,,
32,09/10/18 10:00:00 AM,8.978,3444.5,,,,,
33,09/10/18 01:00:00 PM,11.139,3272.2,,,,,
34,09/10/18 04:00:00 PM,10.944,893.4,,,,,
35,09/10/18 07:00:00 PM,9.669,43.1,,,,,
36,09/10/18 10:00:00 PM,9.077,0.0,,,,,
37,09/11/18 01:00:00 AM,8.581,0.0,,,,,
38,09/11/18 04:00:00 AM,8.182,0.0,,,,,
39,09/11/18 07:00:00 AM,8.082,21.5,,,,,
40,09/11/18 10:00:00 AM,9.176,2927.8,,,,,
41,09/11/18 01:00:00 PM,11.041,3100.0,,,,,
42,09/11/18 04:00:00 PM,10.553,1894.5,,,,,
43,09/11/18 07:00:00 PM,8.680,75.3,,,,,
44,09/11/18 10:00:00 PM,7.481,0.0,,,,,
45,09/12/18 01:00:00 AM,7.481,0.0,,,,,
46,09/12/18 04:00:00 AM,7.381,0.0,,,,,
47,09/12/18 07:00:00 AM,7.381,64.6,,,,,
48,09/12/18 10:00:00 AM,8.680,2411.1,,,,,
49,09/12/18 01:00:00 PM,10.357,7233.4,,,,,
50,09/12/18 04:00:00 PM,10.259,2927.8,,,,,
51,09/12/18 07:00:00 PM,8.282,581.3,,,,,
52,09/12/18 10:00:00 PM,6.370,0.0,,,,,
53,09/13/18 01:00:00 AM,6.370,0.0,,,,,
54,09/13/18 04:00:00 AM,6.471,0.0,,,,,
55,09/13/18 07:00:00 AM,6.573,215.3,,,,,
56,09/13/18 10:00:00 AM,8.182,3100.0,,,,,
57,09/13/18 01:00:00 PM,9.669,2066.7,,,,,
58,09/13/18 04:00:00 PM,10.651,8266.7,,,,,
59,09/13/18 07:00:00 PM,9.176,53.8,,,,,
60,09/13/18 10:00:00 PM,7.983,0.0,,,,,
61,09/14/18 01:00:00 AM,6.775,0.0,,,,,
62,09/14/18 04:00:00 AM,6.573,0.0,,,,,
63,09/14/18 07:00:00 AM,6.877,86.1,,,,,
64,09/14/18 10:00:00 AM,7.882,1097.9,,,,,
65,09/14/18 01:00:00 PM,10.944,3788.9,,,,,
66,09/14/18 04:00:00 PM,12.401,2497.2,,,,,
67,09/14/18 07:00:00 PM,10.063,139.9,,,,,
68,09/14/18 10:00:00 PM,7.983,0.0,,,,,
69,09/15/18 01:00:00 AM,6.877,0.0,,,,,
70,09/15/18 04:00:00 AM,6.268,0.0,,,,,
71,09/15/18 07:00:00 AM,5.962,96.9,,,,,
72,09/15/18 10:00:00 AM,8.481,2497.2,,,,,
73,09/15/18 01:00:00 PM,11.528,7233.4,,,,,
74,09/15/18 04:00:00 PM,10.259,1636.1,,,,,
75,09/15/18 07:00:00 PM,8.779,107.6,,,,,
76,09/15/18 10:00:00 PM,7.481,0.0,,,,,
77,09/16/18 01:00:00 AM,7.179,0.0,,,,,
78,09/16/18 04:00:00 AM,7.179,0.0,,,,,
79,09/16/18 07:00:00 AM,6.978,0.0,,,,,
80,09/16/18 10:00:00 AM,6.775,753.5,,,,,
81,09/16/18 01:00:00 PM,7.582,1065.6,,,,,
82,09/16/18 04:00:00 PM,8.581,1248.6,,,,,
