"Plot Title: AV06-S3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995195, SEN S/N: 9995195, LBL: C)","Intensity, Lux (LGR S/N: 9995195, SEN S/N: 9995195, LBL: Lux)","Bad Battery (LGR S/N: 9995195)","Coupler Attached (LGR S/N: 9995195)","Host Connected (LGR S/N: 9995195)","Stopped (LGR S/N: 9995195)","End Of File (LGR S/N: 9995195)"
1,09/06/18 01:00:00 PM,23.004,14466.8,,,,,
2,09/06/18 04:00:00 PM,22.621,2755.6,,,,,
3,09/06/18 07:00:00 PM,18.521,107.6,,,,,
4,09/06/18 10:00:00 PM,14.709,0.0,,,,,
5,09/07/18 01:00:00 AM,12.787,0.0,,,,,
6,09/07/18 04:00:00 AM,12.304,0.0,,,,,
7,09/07/18 07:00:00 AM,11.819,43.1,,,,,
8,09/07/18 10:00:00 AM,14.325,1722.2,,,,,
9,09/07/18 01:00:00 PM,23.773,17911.2,,,,,
10,09/07/18 04:00:00 PM,23.388,2755.6,,,,,
11,09/07/18 07:00:00 PM,16.618,312.2,,,,,
12,09/07/18 10:00:00 PM,13.269,0.0,,,,,
13,09/08/18 01:00:00 AM,12.110,0.0,,,,,
14,09/08/18 04:00:00 AM,10.944,0.0,,,,,
15,09/08/18 07:00:00 AM,10.455,21.5,,,,,
16,09/08/18 10:00:00 AM,11.625,1808.3,,,,,
17,09/08/18 01:00:00 PM,13.846,2066.7,,,,,
18,09/08/18 04:00:00 PM,14.134,3616.7,,,,,
19,09/08/18 07:00:00 PM,12.110,139.9,,,,,
20,09/08/18 10:00:00 PM,10.455,0.0,,,,,
21,09/09/18 01:00:00 AM,10.161,0.0,,,,,
22,09/09/18 04:00:00 AM,9.373,0.0,,,,,
23,09/09/18 07:00:00 AM,8.779,21.5,,,,,
24,09/09/18 10:00:00 AM,10.748,1194.8,,,,,
25,09/09/18 01:00:00 PM,19.092,12400.1,,,,,
26,09/09/18 04:00:00 PM,15.378,2066.7,,,,,
27,09/09/18 07:00:00 PM,14.038,258.3,,,,,
28,09/09/18 10:00:00 PM,12.787,0.0,,,,,
29,09/10/18 01:00:00 AM,12.013,0.0,,,,,
30,09/10/18 04:00:00 AM,10.063,0.0,,,,,
31,09/10/18 07:00:00 AM,8.581,43.1,,,,,
32,09/10/18 10:00:00 AM,8.879,2927.8,,,,,
33,09/10/18 01:00:00 PM,10.455,2238.9,,,,,
34,09/10/18 04:00:00 PM,10.357,473.6,,,,,
35,09/10/18 07:00:00 PM,9.571,21.5,,,,,
36,09/10/18 10:00:00 PM,8.978,0.0,,,,,
37,09/11/18 01:00:00 AM,8.581,0.0,,,,,
38,09/11/18 04:00:00 AM,8.182,0.0,,,,,
39,09/11/18 07:00:00 AM,8.082,0.0,,,,,
40,09/11/18 10:00:00 AM,8.779,1980.6,,,,,
41,09/11/18 01:00:00 PM,11.431,2152.8,,,,,
42,09/11/18 04:00:00 PM,9.965,1280.9,,,,,
43,09/11/18 07:00:00 PM,8.581,32.3,,,,,
44,09/11/18 10:00:00 PM,7.682,0.0,,,,,
45,09/12/18 01:00:00 AM,7.582,0.0,,,,,
46,09/12/18 04:00:00 AM,7.481,0.0,,,,,
47,09/12/18 07:00:00 AM,7.481,32.3,,,,,
48,09/12/18 10:00:00 AM,8.382,1808.3,,,,,
49,09/12/18 01:00:00 PM,10.161,6200.0,,,,,
50,09/12/18 04:00:00 PM,9.373,1722.2,,,,,
51,09/12/18 07:00:00 PM,8.282,376.7,,,,,
52,09/12/18 10:00:00 PM,6.573,0.0,,,,,
53,09/13/18 01:00:00 AM,6.471,0.0,,,,,
54,09/13/18 04:00:00 AM,6.573,0.0,,,,,
55,09/13/18 07:00:00 AM,6.674,118.4,,,,,
56,09/13/18 10:00:00 AM,7.882,2238.9,,,,,
57,09/13/18 01:00:00 PM,9.176,1463.9,,,,,
58,09/13/18 04:00:00 PM,9.768,3272.2,,,,,
59,09/13/18 07:00:00 PM,9.077,21.5,,,,,
60,09/13/18 10:00:00 PM,8.082,0.0,,,,,
61,09/14/18 01:00:00 AM,6.978,0.0,,,,,
62,09/14/18 04:00:00 AM,6.674,0.0,,,,,
