"Plot Title: AV06-S5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10578611, SEN S/N: 10578611, LBL: C)","Intensity, Lux (LGR S/N: 10578611, SEN S/N: 10578611, LBL: LUX)","Coupler Attached (LGR S/N: 10578611)","Host Connected (LGR S/N: 10578611)","Stopped (LGR S/N: 10578611)","End Of File (LGR S/N: 10578611)"
1,09/06/18 01:00:00 PM,22.333,5511.1,,,,
2,09/06/18 04:00:00 PM,23.581,11022.3,,,,
3,09/06/18 07:00:00 PM,18.521,118.4,,,,
4,09/06/18 10:00:00 PM,14.517,0.0,,,,
5,09/07/18 01:00:00 AM,12.594,0.0,,,,
6,09/07/18 04:00:00 AM,12.207,0.0,,,,
7,09/07/18 07:00:00 AM,11.722,64.6,,,,
8,09/07/18 10:00:00 AM,14.996,1722.2,,,,
9,09/07/18 01:00:00 PM,21.473,4133.4,,,,
10,09/07/18 04:00:00 PM,24.448,3100.0,,,,
11,09/07/18 07:00:00 PM,16.618,409.0,,,,
12,09/07/18 10:00:00 PM,13.173,0.0,,,,
13,09/08/18 01:00:00 AM,12.013,0.0,,,,
14,09/08/18 04:00:00 AM,10.846,0.0,,,,
15,09/08/18 07:00:00 AM,10.455,53.8,,,,
16,09/08/18 10:00:00 AM,11.819,2325.0,,,,
17,09/08/18 01:00:00 PM,14.325,2325.0,,,,
18,09/08/18 04:00:00 PM,14.517,4133.4,,,,
19,09/08/18 07:00:00 PM,12.110,172.2,,,,
20,09/08/18 10:00:00 PM,10.357,0.0,,,,
21,09/09/18 01:00:00 AM,10.161,0.0,,,,
22,09/09/18 04:00:00 AM,9.373,0.0,,,,
23,09/09/18 07:00:00 AM,8.581,32.3,,,,
24,09/09/18 10:00:00 AM,11.139,1270.1,,,,
25,09/09/18 01:00:00 PM,18.140,7233.4,,,,
26,09/09/18 04:00:00 PM,15.855,2325.0,,,,
27,09/09/18 07:00:00 PM,14.230,312.2,,,,
28,09/09/18 10:00:00 PM,12.883,0.0,,,,
29,09/10/18 01:00:00 AM,12.013,0.0,,,,
30,09/10/18 04:00:00 AM,10.161,0.0,,,,
31,09/10/18 07:00:00 AM,8.382,64.6,,,,
32,09/10/18 10:00:00 AM,9.077,3272.2,,,,
33,09/10/18 01:00:00 PM,10.748,2669.5,,,,
34,09/10/18 04:00:00 PM,10.455,624.3,,,,
35,09/10/18 07:00:00 PM,9.472,43.1,,,,
36,09/10/18 10:00:00 PM,9.077,0.0,,,,
37,09/11/18 01:00:00 AM,8.581,0.0,,,,
38,09/11/18 04:00:00 AM,8.182,0.0,,,,
39,09/11/18 07:00:00 AM,8.082,21.5,,,,
40,09/11/18 10:00:00 AM,8.978,2325.0,,,,
41,09/11/18 01:00:00 PM,10.846,2755.6,,,,
42,09/11/18 04:00:00 PM,9.965,1550.0,,,,
43,09/11/18 07:00:00 PM,8.481,53.8,,,,
44,09/11/18 10:00:00 PM,7.582,0.0,,,,
45,09/12/18 01:00:00 AM,7.582,0.0,,,,
46,09/12/18 04:00:00 AM,7.582,0.0,,,,
47,09/12/18 07:00:00 AM,7.481,53.8,,,,
48,09/12/18 10:00:00 AM,8.680,2325.0,,,,
49,09/12/18 01:00:00 PM,10.161,6544.5,,,,
50,09/12/18 04:00:00 PM,9.571,2066.7,,,,
51,09/12/18 07:00:00 PM,8.282,398.3,,,,
52,09/12/18 10:00:00 PM,6.471,0.0,,,,
53,09/13/18 01:00:00 AM,6.471,0.0,,,,
54,09/13/18 04:00:00 AM,6.573,0.0,,,,
55,09/13/18 07:00:00 AM,6.674,161.5,,,,
56,09/13/18 10:00:00 AM,8.182,2927.8,,,,
57,09/13/18 01:00:00 PM,9.571,1808.3,,,,
58,09/13/18 04:00:00 PM,10.063,4477.8,,,,
59,09/13/18 07:00:00 PM,9.176,43.1,,,,
60,09/13/18 10:00:00 PM,8.082,0.0,,,,
61,09/14/18 01:00:00 AM,6.775,0.0,,,,
62,09/14/18 04:00:00 AM,6.674,0.0,,,,
63,09/14/18 07:00:00 AM,6.978,75.3,,,,
64,09/14/18 10:00:00 AM,8.282,1463.9,,,,
65,09/14/18 01:00:00 PM,11.431,4133.4,,,,
66,09/14/18 04:00:00 PM,11.334,1808.3,,,,
67,09/14/18 07:00:00 PM,9.768,96.9,,,,
68,09/14/18 10:00:00 PM,7.983,0.0,,,,
69,09/15/18 01:00:00 AM,6.978,0.0,,,,
70,09/15/18 04:00:00 AM,6.471,0.0,,,,
71,09/15/18 07:00:00 AM,6.166,86.1,,,,
72,09/15/18 10:00:00 AM,8.879,2755.6,,,,
73,09/15/18 01:00:00 PM,11.431,7577.8,,,,
74,09/15/18 04:00:00 PM,9.965,1377.8,,,,
75,09/15/18 07:00:00 PM,8.779,86.1,,,,
76,09/15/18 10:00:00 PM,7.582,0.0,,,,
77,09/16/18 01:00:00 AM,7.381,0.0,,,,
78,09/16/18 04:00:00 AM,7.280,0.0,,,,
79,09/16/18 07:00:00 AM,7.179,0.0,,,,
80,09/16/18 10:00:00 AM,6.877,635.1,,,,
81,09/16/18 01:00:00 PM,7.481,775.0,,,,
82,09/16/18 04:00:00 PM,8.282,947.2,,,,
83,09/16/18 07:00:00 PM,7.582,161.5,,,,
84,09/16/18 10:00:00 PM,7.079,0.0,,,,
85,09/17/18 01:00:00 AM,6.674,0.0,,,,
86,09/17/18 04:00:00 AM,4.831,0.0,,,,
87,09/17/18 07:00:00 AM,3.998,43.1,,,,
88,09/17/18 10:00:00 AM,5.347,1302.4,,,,
89,09/17/18 01:00:00 PM,9.669,8611.2,,,,
90,09/17/18 04:00:00 PM,10.748,5511.1,,,,
91,09/17/18 07:00:00 PM,9.176,86.1,,,,
92,09/17/18 10:00:00 PM,8.282,0.0,,,,
93,09/18/18 01:00:00 AM,7.682,0.0,,,,
94,09/18/18 04:00:00 AM,6.573,0.0,,,,
95,09/18/18 07:00:00 AM,6.166,43.1,,,,
96,09/18/18 10:00:00 AM,6.370,1291.7,,,,
97,09/18/18 01:00:00 PM,11.625,4994.5,,,,
98,09/18/18 04:00:00 PM,12.497,2669.5,,,,
99,09/18/18 07:00:00 PM,9.965,43.1,,,,
100,09/18/18 10:00:00 PM,8.082,0.0,,,,
101,09/19/18 01:00:00 AM,7.079,0.0,,,,
102,09/19/18 04:00:00 AM,6.775,0.0,,,,
103,09/19/18 07:00:00 AM,7.381,10.8,,,,
104,09/19/18 10:00:00 AM,8.481,1463.9,,,,
105,09/19/18 01:00:00 PM,11.625,5166.7,,,,
106,09/19/18 04:00:00 PM,12.207,2325.0,,,,
107,09/19/18 07:00:00 PM,9.077,32.3,,,,
108,09/19/18 10:00:00 PM,8.182,0.0,,,,
109,09/20/18 01:00:00 AM,7.179,0.0,,,,
110,09/20/18 04:00:00 AM,6.573,0.0,,,,
111,09/20/18 07:00:00 AM,6.166,21.5,,,,
112,09/20/18 10:00:00 AM,7.280,1894.5,,,,
113,09/20/18 01:00:00 PM,10.161,3961.1,,,,
114,09/20/18 04:00:00 PM,11.334,2066.7,,,,
115,09/20/18 07:00:00 PM,10.161,10.8,,,,
116,09/20/18 10:00:00 PM,9.275,0.0,,,,
117,09/21/18 01:00:00 AM,8.978,0.0,,,,
118,09/21/18 04:00:00 AM,7.882,0.0,,,,
119,09/21/18 07:00:00 AM,7.481,53.8,,,,
120,09/21/18 10:00:00 AM,9.866,2325.0,,,,
121,09/21/18 01:00:00 PM,14.134,4133.4,,,,
122,09/21/18 04:00:00 PM,15.282,2755.6,,,,
123,09/21/18 07:00:00 PM,13.173,21.5,,,,
124,09/21/18 10:00:00 PM,11.722,0.0,,,,
125,09/22/18 01:00:00 AM,10.748,0.0,,,,
126,09/22/18 04:00:00 AM,9.373,0.0,,,,
127,09/22/18 07:00:00 AM,8.978,0.0,,,,
128,09/22/18 10:00:00 AM,9.669,2238.9,,,,
129,09/22/18 01:00:00 PM,10.259,1722.2,,,,
130,09/22/18 04:00:00 PM,10.063,1377.8,,,,
131,09/22/18 07:00:00 PM,8.481,10.8,,,,
132,09/22/18 10:00:00 PM,7.280,0.0,,,,
133,09/23/18 01:00:00 AM,5.757,0.0,,,,
134,09/23/18 04:00:00 AM,4.623,0.0,,,,
135,09/23/18 07:00:00 AM,3.683,21.5,,,,
136,09/23/18 10:00:00 AM,4.519,1980.6,,,,
137,09/23/18 01:00:00 PM,6.775,2583.4,,,,
138,09/23/18 04:00:00 PM,7.782,1980.6,,,,
139,09/23/18 07:00:00 PM,6.775,32.3,,,,
140,09/23/18 10:00:00 PM,5.037,0.0,,,,
141,09/24/18 01:00:00 AM,3.788,0.0,,,,
142,09/24/18 04:00:00 AM,2.837,0.0,,,,
143,09/24/18 07:00:00 AM,2.517,21.5,,,,
144,09/24/18 10:00:00 AM,4.415,1227.1,,,,
145,09/24/18 01:00:00 PM,9.472,3100.0,,,,
146,09/24/18 04:00:00 PM,11.625,2497.2,,,,
147,09/24/18 07:00:00 PM,9.077,10.8,,,,
148,09/24/18 10:00:00 PM,6.978,0.0,,,,
149,09/25/18 01:00:00 AM,6.166,0.0,,,,
150,09/25/18 04:00:00 AM,5.552,0.0,,,,
151,09/25/18 07:00:00 AM,5.141,10.8,,,,
152,09/25/18 10:00:00 AM,7.381,1302.4,,,,
153,09/25/18 01:00:00 PM,12.690,3272.2,,,,
154,09/25/18 04:00:00 PM,14.230,2325.0,,,,
155,09/25/18 07:00:00 PM,11.236,21.5,,,,
156,09/25/18 10:00:00 PM,8.779,0.0,,,,
157,09/26/18 01:00:00 AM,8.282,0.0,,,,
158,09/26/18 04:00:00 AM,7.782,0.0,,,,
159,09/26/18 07:00:00 AM,7.582,0.0,,,,
160,09/26/18 10:00:00 AM,9.373,1205.6,,,,
161,09/26/18 01:00:00 PM,14.996,3444.5,,,,
162,09/26/18 04:00:00 PM,16.618,1980.6,,,,
163,09/26/18 07:00:00 PM,13.461,10.8,,,,
164,09/26/18 10:00:00 PM,10.846,0.0,,,,
165,09/27/18 01:00:00 AM,10.357,0.0,,,,
166,09/27/18 04:00:00 AM,10.063,0.0,,,,
167,09/27/18 07:00:00 AM,9.866,10.8,,,,
168,09/27/18 10:00:00 AM,11.722,1194.8,,,,
169,09/27/18 01:00:00 PM,17.379,3100.0,,,,
170,09/27/18 04:00:00 PM,18.236,2066.7,,,,
171,09/27/18 07:00:00 PM,14.804,10.8,,,,
172,09/27/18 10:00:00 PM,13.269,0.0,,,,
173,09/28/18 01:00:00 AM,12.787,0.0,,,,
174,09/28/18 04:00:00 AM,12.207,0.0,,,,
175,09/28/18 07:00:00 AM,11.431,10.8,,,,
176,09/28/18 10:00:00 AM,12.497,1205.6,,,,
177,09/28/18 01:00:00 PM,17.570,3100.0,,,,
178,09/28/18 04:00:00 PM,18.045,2238.9,,,,
179,09/28/18 07:00:00 PM,14.996,10.8,,,,
180,09/28/18 10:00:00 PM,12.401,0.0,,,,
181,09/29/18 01:00:00 AM,11.528,0.0,,,,
182,09/29/18 04:00:00 AM,10.944,0.0,,,,
183,09/29/18 07:00:00 AM,10.553,10.8,,,,
184,09/29/18 10:00:00 AM,11.722,1636.1,,,,
185,09/29/18 01:00:00 PM,15.091,3444.5,,,,
186,09/29/18 04:00:00 PM,14.900,2238.9,,,,
187,09/29/18 07:00:00 PM,11.528,0.0,,,,
188,09/29/18 10:00:00 PM,10.357,0.0,,,,
189,09/30/18 01:00:00 AM,8.680,0.0,,,,
190,09/30/18 04:00:00 AM,8.581,0.0,,,,
191,09/30/18 07:00:00 AM,7.782,10.8,,,,
192,09/30/18 10:00:00 AM,9.373,312.2,,,,
193,09/30/18 01:00:00 PM,9.866,1119.5,,,,
194,09/30/18 04:00:00 PM,10.357,645.8,,,,
195,09/30/18 07:00:00 PM,9.472,0.0,,,,
196,09/30/18 10:00:00 PM,8.879,0.0,,,,
197,10/01/18 01:00:00 AM,8.879,0.0,,,,
198,10/01/18 04:00:00 AM,8.581,0.0,,,,
199,10/01/18 07:00:00 AM,8.382,0.0,,,,
200,10/01/18 10:00:00 AM,9.275,742.7,,,,
201,10/01/18 01:00:00 PM,10.748,1808.3,,,,
202,10/01/18 04:00:00 PM,10.944,775.0,,,,
203,10/01/18 07:00:00 PM,10.259,0.0,,,,
204,10/01/18 10:00:00 PM,9.965,0.0,,,,
205,10/02/18 01:00:00 AM,9.768,0.0,,,,
206,10/02/18 04:00:00 AM,9.373,0.0,,,,
207,10/02/18 07:00:00 AM,8.581,0.0,,,,
208,10/02/18 10:00:00 AM,8.978,1377.8,,,,
209,10/02/18 01:00:00 PM,8.282,1463.9,,,,
210,10/02/18 04:00:00 PM,6.674,775.0,,,,
211,10/02/18 07:00:00 PM,5.244,0.0,,,,
212,10/02/18 10:00:00 PM,3.155,0.0,,,,
213,10/03/18 01:00:00 AM,2.303,0.0,,,,
214,10/03/18 04:00:00 AM,1.221,0.0,,,,
215,10/03/18 07:00:00 AM,0.563,0.0,,,,
216,10/03/18 10:00:00 AM,2.410,1291.7,,,,
217,10/03/18 01:00:00 PM,7.682,7577.8,,,,
218,10/03/18 04:00:00 PM,8.581,2066.7,,,,
219,10/03/18 07:00:00 PM,6.268,0.0,,,,
220,10/03/18 10:00:00 PM,5.244,0.0,,,,
221,10/04/18 01:00:00 AM,5.037,0.0,,,,
222,10/04/18 04:00:00 AM,3.893,0.0,,,,
223,10/04/18 07:00:00 AM,3.893,0.0,,,,
224,10/04/18 10:00:00 AM,4.727,893.4,,,,
225,10/04/18 01:00:00 PM,7.280,1119.5,,,,
226,10/04/18 04:00:00 PM,7.582,1550.0,,,,
227,10/04/18 07:00:00 PM,6.166,0.0,,,,
228,10/04/18 10:00:00 PM,4.102,0.0,,,,
229,10/05/18 01:00:00 AM,2.303,0.0,,,,
230,10/05/18 04:00:00 AM,2.730,0.0,,,,
231,10/05/18 07:00:00 AM,3.367,0.0,,,,
232,10/05/18 10:00:00 AM,4.519,635.1,,,,
233,10/05/18 01:00:00 PM,5.244,914.9,,,,
234,10/05/18 04:00:00 PM,3.893,387.5,,,,
235,10/05/18 07:00:00 PM,4.311,0.0,,,,
236,10/05/18 10:00:00 PM,4.519,0.0,,,,
237,10/06/18 01:00:00 AM,4.831,0.0,,,,
238,10/06/18 04:00:00 AM,5.037,0.0,,,,
239,10/06/18 07:00:00 AM,4.623,0.0,,,,
240,10/06/18 10:00:00 AM,4.519,1270.1,,,,
241,10/06/18 01:00:00 PM,5.450,2238.9,,,,
242,10/06/18 04:00:00 PM,5.450,602.8,,,,
243,10/06/18 07:00:00 PM,5.244,0.0,,,,
244,10/06/18 10:00:00 PM,4.934,0.0,,,,
245,10/07/18 01:00:00 AM,3.998,0.0,,,,
246,10/07/18 04:00:00 AM,3.472,0.0,,,,
247,10/07/18 07:00:00 AM,3.472,0.0,,,,
248,10/07/18 10:00:00 AM,5.037,1722.2,,,,
249,10/07/18 01:00:00 PM,7.179,3272.2,,,,
250,10/07/18 04:00:00 PM,8.182,3100.0,,,,
251,10/07/18 07:00:00 PM,6.877,0.0,,,,
252,10/07/18 10:00:00 PM,6.573,0.0,,,,
253,10/08/18 01:00:00 AM,6.674,0.0,,,,
254,10/08/18 04:00:00 AM,6.674,0.0,,,,
255,10/08/18 07:00:00 AM,6.674,0.0,,,,
256,10/08/18 10:00:00 AM,7.682,3272.2,,,,
257,10/08/18 01:00:00 PM,8.879,1894.5,,,,
258,10/08/18 04:00:00 PM,8.680,452.1,,,,
259,10/08/18 07:00:00 PM,8.282,0.0,,,,
260,10/08/18 10:00:00 PM,8.182,0.0,,,,
261,10/09/18 01:00:00 AM,8.382,0.0,,,,
262,10/09/18 04:00:00 AM,7.582,0.0,,,,
263,10/09/18 07:00:00 AM,6.674,0.0,,,,
264,10/09/18 10:00:00 AM,7.179,1377.8,,,,
265,10/09/18 01:00:00 PM,8.481,5166.7,,,,
266,10/09/18 04:00:00 PM,7.782,3100.0,,,,
267,10/09/18 07:00:00 PM,6.978,0.0,,,,
268,10/09/18 10:00:00 PM,6.268,0.0,,,,
269,10/10/18 01:00:00 AM,5.347,0.0,,,,
270,10/10/18 04:00:00 AM,5.450,0.0,,,,
271,10/10/18 07:00:00 AM,5.244,0.0,,,,
272,10/10/18 10:00:00 AM,6.064,882.6,,,,
273,10/10/18 01:00:00 PM,7.682,2755.6,,,,
274,10/10/18 04:00:00 PM,8.382,2411.1,,,,
275,10/10/18 07:00:00 PM,5.757,0.0,,,,
276,10/10/18 10:00:00 PM,4.311,0.0,,,,
277,10/11/18 01:00:00 AM,3.683,0.0,,,,
278,10/11/18 04:00:00 AM,3.049,0.0,,,,
279,10/11/18 07:00:00 AM,2.624,0.0,,,,
280,10/11/18 10:00:00 AM,3.788,882.6,,,,
281,10/11/18 01:00:00 PM,7.682,2669.5,,,,
282,10/11/18 04:00:00 PM,8.978,1550.0,,,,
283,10/11/18 07:00:00 PM,7.079,0.0,,,,
284,10/11/18 10:00:00 PM,5.552,0.0,,,,
285,10/12/18 01:00:00 AM,4.934,0.0,,,,
286,10/12/18 04:00:00 AM,4.623,0.0,,,,
287,10/12/18 07:00:00 AM,4.207,0.0,,,,
288,10/12/18 10:00:00 AM,4.934,914.9,,,,
289,10/12/18 01:00:00 PM,8.382,2497.2,,,,
290,10/12/18 04:00:00 PM,9.965,1894.5,,,,
291,10/12/18 07:00:00 PM,7.983,0.0,,,,
292,10/12/18 10:00:00 PM,7.381,0.0,,,,
293,10/13/18 01:00:00 AM,6.573,0.0,,,,
294,10/13/18 04:00:00 AM,5.244,0.0,,,,
295,10/13/18 07:00:00 AM,2.943,0.0,,,,
296,10/13/18 10:00:00 AM,3.261,893.4,,,,
297,10/13/18 01:00:00 PM,7.179,2325.0,,,,
298,10/13/18 04:00:00 PM,8.680,1463.9,,,,
299,10/13/18 07:00:00 PM,6.064,0.0,,,,
300,10/13/18 10:00:00 PM,4.519,0.0,,,,
301,10/14/18 01:00:00 AM,3.893,0.0,,,,
302,10/14/18 04:00:00 AM,3.367,0.0,,,,
303,10/14/18 07:00:00 AM,3.049,0.0,,,,
304,10/14/18 10:00:00 AM,4.207,925.7,,,,
