"Plot Title: AV14-S5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995241, SEN S/N: 9995241, LBL: C)","Intensity, Lux (LGR S/N: 9995241, SEN S/N: 9995241, LBL: Lux)","End Of File (LGR S/N: 9995241)"
1,09/11/18 01:00:00 PM,8.581,936.5,
2,09/11/18 04:00:00 PM,8.581,53.8,
3,09/11/18 07:00:00 PM,7.481,21.5,
4,09/11/18 10:00:00 PM,7.179,0.0,
5,09/12/18 01:00:00 AM,7.280,0.0,
6,09/12/18 04:00:00 AM,7.280,0.0,
7,09/12/18 07:00:00 AM,7.280,21.5,
8,09/12/18 10:00:00 AM,7.682,258.3,
9,09/12/18 01:00:00 PM,8.680,1022.6,
10,09/12/18 04:00:00 PM,8.481,193.8,
11,09/12/18 07:00:00 PM,8.082,32.3,
12,09/12/18 10:00:00 PM,7.179,0.0,
13,09/13/18 01:00:00 AM,7.079,0.0,
14,09/13/18 04:00:00 AM,6.978,0.0,
15,09/13/18 07:00:00 AM,6.877,53.8,
16,09/13/18 10:00:00 AM,7.682,936.5,
17,09/13/18 01:00:00 PM,8.481,1162.5,
18,09/13/18 04:00:00 PM,8.382,462.9,
19,09/13/18 07:00:00 PM,8.082,10.8,
20,09/13/18 10:00:00 PM,7.682,0.0,
21,09/14/18 01:00:00 AM,7.582,0.0,
22,09/14/18 04:00:00 AM,7.079,0.0,
23,09/14/18 07:00:00 AM,6.978,10.8,
24,09/14/18 10:00:00 AM,7.381,387.5,
25,09/14/18 01:00:00 PM,8.481,947.2,
26,09/14/18 04:00:00 PM,9.077,602.8,
27,09/14/18 07:00:00 PM,8.779,0.0,
28,09/14/18 10:00:00 PM,8.182,0.0,
29,09/15/18 01:00:00 AM,7.481,0.0,
30,09/15/18 04:00:00 AM,6.775,0.0,
31,09/15/18 07:00:00 AM,6.674,21.5,
32,09/15/18 10:00:00 AM,7.582,1033.3,
33,09/15/18 01:00:00 PM,8.282,947.2,
34,09/15/18 04:00:00 PM,8.282,139.9,
35,09/15/18 07:00:00 PM,8.082,0.0,
36,09/15/18 10:00:00 PM,7.481,0.0,
37,09/16/18 01:00:00 AM,7.179,0.0,
38,09/16/18 04:00:00 AM,7.079,0.0,
39,09/16/18 07:00:00 AM,7.079,0.0,
40,09/16/18 10:00:00 AM,6.268,387.5,
41,09/16/18 01:00:00 PM,7.179,785.8,
