"Plot Title: AV14-S6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995244, SEN S/N: 9995244, LBL: C)","Intensity, Lux (LGR S/N: 9995244, SEN S/N: 9995244, LBL: Lux)","Coupler Attached (LGR S/N: 9995244)","Host Connected (LGR S/N: 9995244)","Stopped (LGR S/N: 9995244)","End Of File (LGR S/N: 9995244)"
1,09/11/18 01:00:00 PM,8.680,731.9,,,,
2,09/11/18 04:00:00 PM,8.481,32.3,,,,
3,09/11/18 07:00:00 PM,7.481,21.5,,,,
4,09/11/18 10:00:00 PM,7.079,0.0,,,,
5,09/12/18 01:00:00 AM,7.179,0.0,,,,
6,09/12/18 04:00:00 AM,7.280,0.0,,,,
7,09/12/18 07:00:00 AM,7.280,10.8,,,,
8,09/12/18 10:00:00 AM,7.782,269.1,,,,
9,09/12/18 01:00:00 PM,8.978,785.8,,,,
10,09/12/18 04:00:00 PM,8.382,139.9,,,,
11,09/12/18 07:00:00 PM,7.983,10.8,,,,
12,09/12/18 10:00:00 PM,6.877,0.0,,,,
13,09/13/18 01:00:00 AM,6.978,0.0,,,,
14,09/13/18 04:00:00 AM,6.877,0.0,,,,
15,09/13/18 07:00:00 AM,6.775,43.1,,,,
16,09/13/18 10:00:00 AM,7.882,753.5,,,,
17,09/13/18 01:00:00 PM,8.680,871.9,,,,
18,09/13/18 04:00:00 PM,8.382,279.9,,,,
19,09/13/18 07:00:00 PM,7.983,0.0,,,,
20,09/13/18 10:00:00 PM,7.582,0.0,,,,
21,09/14/18 01:00:00 AM,7.481,0.0,,,,
22,09/14/18 04:00:00 AM,6.775,0.0,,,,
23,09/14/18 07:00:00 AM,6.877,0.0,,,,
24,09/14/18 10:00:00 AM,7.381,495.1,,,,
25,09/14/18 01:00:00 PM,8.680,721.2,,,,
26,09/14/18 04:00:00 PM,9.176,505.9,,,,
27,09/14/18 07:00:00 PM,8.779,0.0,,,,
28,09/14/18 10:00:00 PM,8.082,0.0,,,,
29,09/15/18 01:00:00 AM,7.179,0.0,,,,
30,09/15/18 04:00:00 AM,6.573,0.0,,,,
31,09/15/18 07:00:00 AM,6.573,10.8,,,,
32,09/15/18 10:00:00 AM,7.682,871.9,,,,
33,09/15/18 01:00:00 PM,8.382,796.5,,,,
34,09/15/18 04:00:00 PM,8.382,96.9,,,,
35,09/15/18 07:00:00 PM,8.082,0.0,,,,
36,09/15/18 10:00:00 PM,7.280,0.0,,,,
37,09/16/18 01:00:00 AM,7.079,0.0,,,,
38,09/16/18 04:00:00 AM,7.079,0.0,,,,
39,09/16/18 07:00:00 AM,7.079,0.0,,,,
40,09/16/18 10:00:00 AM,6.471,258.3,,,,
41,09/16/18 01:00:00 PM,7.280,592.0,,,,
42,09/16/18 04:00:00 PM,7.280,247.6,,,,
43,09/16/18 07:00:00 PM,6.877,0.0,,,,
44,09/16/18 10:00:00 PM,6.573,0.0,,,,
45,09/17/18 01:00:00 AM,6.370,0.0,,,,
46,09/17/18 04:00:00 AM,5.347,0.0,,,,
47,09/17/18 07:00:00 AM,4.415,0.0,,,,
48,09/17/18 10:00:00 AM,5.655,409.0,,,,
49,09/17/18 01:00:00 PM,6.877,505.9,,,,
50,09/17/18 04:00:00 PM,7.782,258.3,,,,
51,09/17/18 07:00:00 PM,7.481,0.0,,,,
52,09/17/18 10:00:00 PM,7.179,0.0,,,,
53,09/18/18 01:00:00 AM,5.962,0.0,,,,
54,09/18/18 04:00:00 AM,5.450,0.0,,,,
55,09/18/18 07:00:00 AM,4.934,0.0,,,,
56,09/18/18 10:00:00 AM,6.064,366.0,,,,
57,09/18/18 01:00:00 PM,7.179,495.1,,,,
