"Plot Title: AX15-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10163347, SEN S/N: 10163347, LBL: C)","Intensity, Lux (LGR S/N: 10163347, SEN S/N: 10163347, LBL: Lux)","Bad Battery (LGR S/N: 10163347)","Coupler Attached (LGR S/N: 10163347)","Host Connected (LGR S/N: 10163347)","Stopped (LGR S/N: 10163347)","End Of File (LGR S/N: 10163347)"
1,09/18/18 01:00:00 PM,11.139,3616.7,,,,,
2,09/18/18 04:00:00 PM,11.528,1550.0,,,,,
3,09/18/18 07:00:00 PM,9.571,21.5,,,,,
4,09/18/18 10:00:00 PM,8.182,0.0,,,,,
5,09/19/18 01:00:00 AM,7.782,0.0,,,,,
6,09/19/18 04:00:00 AM,7.782,0.0,,,,,
7,09/19/18 07:00:00 AM,7.582,0.0,,,,,
8,09/19/18 10:00:00 AM,8.779,5338.9,,,,,
9,09/19/18 01:00:00 PM,11.139,3616.7,,,,,
10,09/19/18 04:00:00 PM,10.846,1808.3,,,,,
11,09/19/18 07:00:00 PM,9.077,10.8,,,,,
12,09/19/18 10:00:00 PM,8.082,0.0,,,,,
13,09/20/18 01:00:00 AM,7.381,0.0,,,,,
14,09/20/18 04:00:00 AM,6.268,0.0,,,,,
15,09/20/18 07:00:00 AM,6.268,0.0,,,,,
16,09/20/18 10:00:00 AM,7.179,1980.6,,,,,
17,09/20/18 01:00:00 PM,9.373,2755.6,,,,,
18,09/20/18 04:00:00 PM,10.846,2755.6,,,,,
19,09/20/18 07:00:00 PM,9.866,10.8,,,,,
20,09/20/18 10:00:00 PM,9.176,0.0,,,,,
21,09/21/18 01:00:00 AM,9.176,0.0,,,,,
22,09/21/18 04:00:00 AM,8.581,0.0,,,,,
23,09/21/18 07:00:00 AM,8.879,53.8,,,,,
24,09/21/18 10:00:00 AM,11.819,3100.0,,,,,
25,09/21/18 01:00:00 PM,14.038,3444.5,,,,,
26,09/21/18 04:00:00 PM,14.230,1205.6,,,,,
27,09/21/18 07:00:00 PM,12.594,10.8,,,,,
28,09/21/18 10:00:00 PM,11.625,0.0,,,,,
29,09/22/18 01:00:00 AM,10.553,0.0,,,,,
30,09/22/18 04:00:00 AM,9.472,0.0,,,,,
31,09/22/18 07:00:00 AM,9.176,0.0,,,,,
32,09/22/18 10:00:00 AM,9.472,1377.8,,,,,
33,09/22/18 01:00:00 PM,9.768,1377.8,,,,,
34,09/22/18 04:00:00 PM,9.866,807.3,,,,,
35,09/22/18 07:00:00 PM,8.581,0.0,,,,,
36,09/22/18 10:00:00 PM,7.179,0.0,,,,,
37,09/23/18 01:00:00 AM,6.064,0.0,,,,,
38,09/23/18 04:00:00 AM,4.727,0.0,,,,,
39,09/23/18 07:00:00 AM,3.578,0.0,,,,,
40,09/23/18 10:00:00 AM,5.347,2238.9,,,,,
41,09/23/18 01:00:00 PM,7.782,2927.8,,,,,
42,09/23/18 04:00:00 PM,7.381,1097.9,,,,,
43,09/23/18 07:00:00 PM,6.471,10.8,,,,,
44,09/23/18 10:00:00 PM,5.655,0.0,,,,,
45,09/24/18 01:00:00 AM,5.141,0.0,,,,,
46,09/24/18 04:00:00 AM,4.519,0.0,,,,,
47,09/24/18 07:00:00 AM,4.102,0.0,,,,,
48,09/24/18 10:00:00 AM,6.877,2238.9,,,,,
49,09/24/18 01:00:00 PM,9.866,3788.9,,,,,
50,09/24/18 04:00:00 PM,10.944,1377.8,,,,,
51,09/24/18 07:00:00 PM,9.373,0.0,,,,,
52,09/24/18 10:00:00 PM,8.182,0.0,,,,,
53,09/25/18 01:00:00 AM,8.182,0.0,,,,,
54,09/25/18 04:00:00 AM,8.082,0.0,,,,,
55,09/25/18 07:00:00 AM,8.282,0.0,,,,,
56,09/25/18 10:00:00 AM,11.334,2927.8,,,,,
57,09/25/18 01:00:00 PM,13.654,3788.9,,,,,
58,09/25/18 04:00:00 PM,13.558,1463.9,,,,,
59,09/25/18 07:00:00 PM,11.528,0.0,,,,,
60,09/25/18 10:00:00 PM,10.651,0.0,,,,,
61,09/26/18 01:00:00 AM,10.944,0.0,,,,,
62,09/26/18 04:00:00 AM,10.651,0.0,,,,,
63,09/26/18 07:00:00 AM,10.846,0.0,,,,,
64,09/26/18 10:00:00 AM,13.461,2583.4,,,,,
65,09/26/18 01:00:00 PM,15.282,4305.6,,,,,
66,09/26/18 04:00:00 PM,15.378,1377.8,,,,,
67,09/26/18 07:00:00 PM,13.654,0.0,,,,,
68,09/26/18 10:00:00 PM,12.594,0.0,,,,,
69,09/27/18 01:00:00 AM,12.304,0.0,,,,,
70,09/27/18 04:00:00 AM,12.013,0.0,,,,,
71,09/27/18 07:00:00 AM,12.110,0.0,,,,,
72,09/27/18 10:00:00 AM,14.804,2152.8,,,,,
73,09/27/18 01:00:00 PM,17.284,6200.0,,,,,
74,09/27/18 04:00:00 PM,16.713,1356.3,,,,,
75,09/27/18 07:00:00 PM,14.709,0.0,,,,,
76,09/27/18 10:00:00 PM,14.709,0.0,,,,,
77,09/28/18 01:00:00 AM,14.325,0.0,,,,,
78,09/28/18 04:00:00 AM,13.750,0.0,,,,,
79,09/28/18 07:00:00 AM,13.076,0.0,,,,,
80,09/28/18 10:00:00 AM,14.709,2152.8,,,,,
81,09/28/18 01:00:00 PM,17.475,3444.5,,,,,
82,09/28/18 04:00:00 PM,17.475,1334.7,,,,,
83,09/28/18 07:00:00 PM,15.187,0.0,,,,,
84,09/28/18 10:00:00 PM,14.325,0.0,,,,,
85,09/29/18 01:00:00 AM,13.558,0.0,,,,,
86,09/29/18 04:00:00 AM,12.883,0.0,,,,,
87,09/29/18 07:00:00 AM,12.207,0.0,,,,,
88,09/29/18 10:00:00 AM,13.846,2497.2,,,,,
89,09/29/18 01:00:00 PM,15.282,2497.2,,,,,
90,09/29/18 04:00:00 PM,14.038,1377.8,,,,,
91,09/29/18 07:00:00 PM,11.431,0.0,,,,,
92,09/29/18 10:00:00 PM,10.357,0.0,,,,,
93,09/30/18 01:00:00 AM,9.571,0.0,,,,,
94,09/30/18 04:00:00 AM,9.077,0.0,,,,,
95,09/30/18 07:00:00 AM,8.779,0.0,,,,,
96,09/30/18 10:00:00 AM,9.472,118.4,,,,,
97,09/30/18 01:00:00 PM,10.357,656.6,,,,,
98,09/30/18 04:00:00 PM,10.063,602.8,,,,,
99,09/30/18 07:00:00 PM,10.063,0.0,,,,,
100,09/30/18 10:00:00 PM,9.571,0.0,,,,,
101,10/01/18 01:00:00 AM,9.176,0.0,,,,,
102,10/01/18 04:00:00 AM,8.879,0.0,,,,,
103,10/01/18 07:00:00 AM,9.077,0.0,,,,,
104,10/01/18 10:00:00 AM,9.768,581.3,,,,,
105,10/01/18 01:00:00 PM,11.334,2927.8,,,,,
106,10/01/18 04:00:00 PM,11.236,452.1,,,,,
107,10/01/18 07:00:00 PM,10.161,0.0,,,,,
108,10/01/18 10:00:00 PM,9.866,0.0,,,,,
109,10/02/18 01:00:00 AM,9.768,0.0,,,,,
110,10/02/18 04:00:00 AM,9.373,0.0,,,,,
111,10/02/18 07:00:00 AM,8.581,0.0,,,,,
112,10/02/18 10:00:00 AM,8.680,1463.9,,,,,
113,10/02/18 01:00:00 PM,8.282,1722.2,,,,,
114,10/02/18 04:00:00 PM,6.978,1259.4,,,,,
115,10/02/18 07:00:00 PM,5.552,0.0,,,,,
116,10/02/18 10:00:00 PM,4.415,0.0,,,,,
117,10/03/18 01:00:00 AM,3.683,0.0,,,,,
118,10/03/18 04:00:00 AM,2.730,0.0,,,,,
119,10/03/18 07:00:00 AM,2.088,0.0,,,,,
120,10/03/18 10:00:00 AM,4.831,2238.9,,,,,
121,10/03/18 01:00:00 PM,8.182,3272.2,,,,,
122,10/03/18 04:00:00 PM,8.581,1377.8,,,,,
123,10/03/18 07:00:00 PM,6.471,0.0,,,,,
124,10/03/18 10:00:00 PM,5.962,0.0,,,,,
125,10/04/18 01:00:00 AM,6.268,0.0,,,,,
126,10/04/18 04:00:00 AM,5.450,0.0,,,,,
127,10/04/18 07:00:00 AM,5.552,0.0,,,,,
128,10/04/18 10:00:00 AM,6.471,1808.3,,,,,
129,10/04/18 01:00:00 PM,8.182,2066.7,,,,,
130,10/04/18 04:00:00 PM,7.381,904.2,,,,,
131,10/04/18 07:00:00 PM,6.268,0.0,,,,,
132,10/04/18 10:00:00 PM,4.831,0.0,,,,,
133,10/05/18 01:00:00 AM,4.311,0.0,,,,,
134,10/05/18 04:00:00 AM,3.998,0.0,,,,,
135,10/05/18 07:00:00 AM,4.623,0.0,,,,,
136,10/05/18 10:00:00 AM,5.037,441.3,,,,,
137,10/05/18 01:00:00 PM,4.934,818.1,,,,,
138,10/05/18 04:00:00 PM,4.207,441.3,,,,,
139,10/05/18 07:00:00 PM,4.831,0.0,,,,,
140,10/05/18 10:00:00 PM,5.037,0.0,,,,,
141,10/06/18 01:00:00 AM,5.450,0.0,,,,,
142,10/06/18 04:00:00 AM,5.347,0.0,,,,,
143,10/06/18 07:00:00 AM,4.727,0.0,,,,,
144,10/06/18 10:00:00 AM,4.727,1463.9,,,,,
145,10/06/18 01:00:00 PM,5.450,2325.0,,,,,
146,10/06/18 04:00:00 PM,5.450,409.0,,,,,
147,10/06/18 07:00:00 PM,5.347,0.0,,,,,
148,10/06/18 10:00:00 PM,5.037,0.0,,,,,
149,10/07/18 01:00:00 AM,4.623,0.0,,,,,
150,10/07/18 04:00:00 AM,4.102,0.0,,,,,
151,10/07/18 07:00:00 AM,3.998,0.0,,,,,
152,10/07/18 10:00:00 AM,5.037,1463.9,,,,,
153,10/07/18 01:00:00 PM,6.573,2669.5,,,,,
154,10/07/18 04:00:00 PM,7.179,1636.1,,,,,
155,10/07/18 07:00:00 PM,6.674,0.0,,,,,
156,10/07/18 10:00:00 PM,6.573,0.0,,,,,
157,10/08/18 01:00:00 AM,6.674,0.0,,,,,
158,10/08/18 04:00:00 AM,6.775,0.0,,,,,
159,10/08/18 07:00:00 AM,6.877,0.0,,,,,
160,10/08/18 10:00:00 AM,7.582,1894.5,,,,,
161,10/08/18 01:00:00 PM,8.182,1722.2,,,,,
162,10/08/18 04:00:00 PM,8.282,1194.8,,,,,
163,10/08/18 07:00:00 PM,8.082,0.0,,,,,
164,10/08/18 10:00:00 PM,7.882,0.0,,,,,
165,10/09/18 01:00:00 AM,7.983,0.0,,,,,
166,10/09/18 04:00:00 AM,7.280,0.0,,,,,
167,10/09/18 07:00:00 AM,6.674,0.0,,,,,
168,10/09/18 10:00:00 AM,6.978,1808.3,,,,,
169,10/09/18 01:00:00 PM,8.382,2927.8,,,,,
170,10/09/18 04:00:00 PM,7.782,947.2,,,,,
171,10/09/18 07:00:00 PM,6.978,0.0,,,,,
172,10/09/18 10:00:00 PM,6.573,0.0,,,,,
173,10/10/18 01:00:00 AM,5.962,0.0,,,,,
174,10/10/18 04:00:00 AM,5.757,0.0,,,,,
175,10/10/18 07:00:00 AM,5.655,0.0,,,,,
176,10/10/18 10:00:00 AM,6.370,2152.8,,,,,
177,10/10/18 01:00:00 PM,7.682,2238.9,,,,,
178,10/10/18 04:00:00 PM,7.983,1302.4,,,,,
179,10/10/18 07:00:00 PM,6.573,0.0,,,,,
180,10/10/18 10:00:00 PM,5.757,0.0,,,,,
181,10/11/18 01:00:00 AM,5.757,0.0,,,,,
182,10/11/18 04:00:00 AM,5.552,0.0,,,,,
183,10/11/18 07:00:00 AM,4.934,0.0,,,,,
184,10/11/18 10:00:00 AM,7.079,2152.8,,,,,
185,10/11/18 01:00:00 PM,8.978,2755.6,,,,,
186,10/11/18 04:00:00 PM,9.275,1011.8,,,,,
187,10/11/18 07:00:00 PM,7.582,0.0,,,,,
188,10/11/18 10:00:00 PM,6.877,0.0,,,,,
189,10/12/18 01:00:00 AM,6.978,0.0,,,,,
190,10/12/18 04:00:00 AM,6.775,0.0,,,,,
191,10/12/18 07:00:00 AM,6.370,0.0,,,,,
192,10/12/18 10:00:00 AM,8.082,1894.5,,,,,
193,10/12/18 01:00:00 PM,9.571,2755.6,,,,,
194,10/12/18 04:00:00 PM,9.571,1011.8,,,,,
195,10/12/18 07:00:00 PM,7.782,0.0,,,,,
196,10/12/18 10:00:00 PM,7.280,0.0,,,,,
197,10/13/18 01:00:00 AM,6.370,0.0,,,,,
198,10/13/18 04:00:00 AM,4.934,0.0,,,,,
199,10/13/18 07:00:00 AM,4.311,0.0,,,,,
200,10/13/18 10:00:00 AM,4.727,2066.7,,,,,
201,10/13/18 01:00:00 PM,7.481,2755.6,,,,,
202,10/13/18 04:00:00 PM,8.182,958.0,,,,,
203,10/13/18 07:00:00 PM,6.471,0.0,,,,,
204,10/13/18 10:00:00 PM,6.166,0.0,,,,,
205,10/14/18 01:00:00 AM,5.244,0.0,,,,,
206,10/14/18 04:00:00 AM,4.623,0.0,,,,,
207,10/14/18 07:00:00 AM,3.893,0.0,,,,,
208,10/14/18 10:00:00 AM,5.757,1894.5,,,,,
209,10/14/18 01:00:00 PM,9.077,2927.8,,,,,
210,10/14/18 04:00:00 PM,9.571,968.8,,,,,
211,10/14/18 07:00:00 PM,7.782,0.0,,,,,
212,10/14/18 10:00:00 PM,7.582,0.0,,,,,
213,10/15/18 01:00:00 AM,8.282,0.0,,,,,
214,10/15/18 04:00:00 AM,9.669,0.0,,,,,
215,10/15/18 07:00:00 AM,10.357,0.0,,,,,
216,10/15/18 10:00:00 AM,12.110,1808.3,,,,,
217,10/15/18 01:00:00 PM,14.709,2927.8,,,,,
218,10/15/18 04:00:00 PM,14.230,947.2,,,,,
219,10/15/18 07:00:00 PM,12.110,0.0,,,,,
220,10/15/18 10:00:00 PM,11.819,0.0,,,,,
221,10/16/18 01:00:00 AM,11.916,0.0,,,,,
222,10/16/18 04:00:00 AM,11.916,0.0,,,,,
223,10/16/18 07:00:00 AM,11.916,0.0,,,,,
224,10/16/18 10:00:00 AM,13.461,1808.3,,,,,
225,10/16/18 01:00:00 PM,16.427,2755.6,,,,,
226,10/16/18 04:00:00 PM,14.900,947.2,,,,,
227,10/16/18 07:00:00 PM,13.365,0.0,,,,,
228,10/16/18 10:00:00 PM,12.304,0.0,,,,,
229,10/17/18 01:00:00 AM,12.497,0.0,,,,,
230,10/17/18 04:00:00 AM,12.110,0.0,,,,,
231,10/17/18 07:00:00 AM,11.236,0.0,,,,,
232,10/17/18 10:00:00 AM,12.690,1808.3,,,,,
233,10/17/18 01:00:00 PM,15.664,2755.6,,,,,
234,10/17/18 04:00:00 PM,15.378,925.7,,,,,
235,10/17/18 07:00:00 PM,13.076,0.0,,,,,
236,10/17/18 10:00:00 PM,12.013,0.0,,,,,
237,10/18/18 01:00:00 AM,11.625,0.0,,,,,
238,10/18/18 04:00:00 AM,11.334,0.0,,,,,
239,10/18/18 07:00:00 AM,10.846,0.0,,,,,
240,10/18/18 10:00:00 AM,11.916,1808.3,,,,,
241,10/18/18 01:00:00 PM,14.804,2669.5,,,,,
242,10/18/18 04:00:00 PM,14.230,893.4,,,,,
243,10/18/18 07:00:00 PM,11.528,0.0,,,,,
244,10/18/18 10:00:00 PM,10.944,0.0,,,,,
245,10/19/18 01:00:00 AM,11.528,0.0,,,,,
246,10/19/18 04:00:00 AM,11.722,0.0,,,,,
247,10/19/18 07:00:00 AM,12.013,0.0,,,,,
248,10/19/18 10:00:00 AM,13.750,1808.3,,,,,
249,10/19/18 01:00:00 PM,16.903,2669.5,,,,,
250,10/19/18 04:00:00 PM,15.760,893.4,,,,,
251,10/19/18 07:00:00 PM,13.173,0.0,,,,,
252,10/19/18 10:00:00 PM,12.980,0.0,,,,,
253,10/20/18 01:00:00 AM,13.076,0.0,,,,,
254,10/20/18 04:00:00 AM,12.497,0.0,,,,,
255,10/20/18 07:00:00 AM,11.916,0.0,,,,,
256,10/20/18 10:00:00 AM,13.461,1808.3,,,,,
257,10/20/18 01:00:00 PM,16.141,2669.5,,,,,
258,10/20/18 04:00:00 PM,14.230,871.9,,,,,
259,10/20/18 07:00:00 PM,12.401,0.0,,,,,
260,10/20/18 10:00:00 PM,12.980,0.0,,,,,
261,10/21/18 01:00:00 AM,13.654,0.0,,,,,
262,10/21/18 04:00:00 AM,13.750,0.0,,,,,
263,10/21/18 07:00:00 AM,13.076,0.0,,,,,
264,10/21/18 10:00:00 AM,14.421,1722.2,,,,,
265,10/21/18 01:00:00 PM,15.760,2583.4,,,,,
266,10/21/18 04:00:00 PM,14.230,828.8,,,,,
267,10/21/18 07:00:00 PM,12.013,0.0,,,,,
268,10/21/18 10:00:00 PM,12.013,0.0,,,,,
269,10/22/18 01:00:00 AM,11.722,0.0,,,,,
270,10/22/18 04:00:00 AM,11.431,0.0,,,,,
271,10/22/18 07:00:00 AM,11.625,0.0,,,,,
272,10/22/18 10:00:00 AM,13.654,1636.1,,,,,
273,10/22/18 01:00:00 PM,15.855,2583.4,,,,,
274,10/22/18 04:00:00 PM,14.900,818.1,,,,,
275,10/22/18 07:00:00 PM,12.980,0.0,,,,,
276,10/22/18 10:00:00 PM,12.980,0.0,,,,,
277,10/23/18 01:00:00 AM,12.497,0.0,,,,,
278,10/23/18 04:00:00 AM,12.497,0.0,,,,,
279,10/23/18 07:00:00 AM,12.304,0.0,,,,,
280,10/23/18 10:00:00 AM,13.558,1722.2,,,,,
281,10/23/18 01:00:00 PM,13.461,3272.2,,,,,
282,10/23/18 04:00:00 PM,12.207,1130.2,,,,,
283,10/23/18 07:00:00 PM,9.965,0.0,,,,,
284,10/23/18 10:00:00 PM,7.782,0.0,,,,,
285,10/24/18 01:00:00 AM,6.370,0.0,,,,,
286,10/24/18 04:00:00 AM,6.268,0.0,,,,,
287,10/24/18 07:00:00 AM,5.860,0.0,,,,,
288,10/24/18 10:00:00 AM,6.978,1463.9,,,,,
289,10/24/18 01:00:00 PM,8.481,3961.1,,,,,
