"Plot Title: PARA-S4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995246, SEN S/N: 9995246, LBL: C)","Intensity, Lux (LGR S/N: 9995246, SEN S/N: 9995246, LBL: Lux)","Coupler Attached (LGR S/N: 9995246)","Host Connected (LGR S/N: 9995246)","Stopped (LGR S/N: 9995246)","End Of File (LGR S/N: 9995246)"
1,09/19/18 01:00:00 PM,6.877,3100.0,,,,
2,09/19/18 04:00:00 PM,7.079,2497.2,,,,
3,09/19/18 07:00:00 PM,5.141,226.0,,,,
4,09/19/18 10:00:00 PM,4.727,0.0,,,,
5,09/20/18 01:00:00 AM,4.102,0.0,,,,
6,09/20/18 04:00:00 AM,3.261,0.0,,,,
7,09/20/18 07:00:00 AM,2.837,64.6,,,,
8,09/20/18 10:00:00 AM,5.037,5166.7,,,,
9,09/20/18 01:00:00 PM,8.182,9644.5,,,,
10,09/20/18 04:00:00 PM,8.779,4133.4,,,,
11,09/20/18 07:00:00 PM,6.166,43.1,,,,
12,09/20/18 10:00:00 PM,5.655,0.0,,,,
13,09/21/18 01:00:00 AM,5.450,0.0,,,,
14,09/21/18 04:00:00 AM,4.934,0.0,,,,
15,09/21/18 07:00:00 AM,4.831,161.5,,,,
16,09/21/18 10:00:00 AM,7.079,5338.9,,,,
17,09/21/18 01:00:00 PM,11.236,11711.2,,,,
18,09/21/18 04:00:00 PM,10.944,5338.9,,,,
19,09/21/18 07:00:00 PM,8.879,107.6,,,,
20,09/21/18 10:00:00 PM,7.882,0.0,,,,
21,09/22/18 01:00:00 AM,7.179,0.0,,,,
22,09/22/18 04:00:00 AM,5.757,0.0,,,,
23,09/22/18 07:00:00 AM,5.552,32.3,,,,
24,09/22/18 10:00:00 AM,6.471,4822.3,,,,
25,09/22/18 01:00:00 PM,7.381,7233.4,,,,
26,09/22/18 04:00:00 PM,6.978,2411.1,,,,
27,09/22/18 07:00:00 PM,5.244,32.3,,,,
28,09/22/18 10:00:00 PM,3.683,0.0,,,,
29,09/23/18 01:00:00 AM,1.980,0.0,,,,
30,09/23/18 04:00:00 AM,0.453,0.0,,,,
31,09/23/18 07:00:00 AM,-0.102,129.2,,,,
32,09/23/18 10:00:00 AM,0.121,2152.8,,,,
33,09/23/18 01:00:00 PM,4.831,10677.8,,,,
34,09/23/18 04:00:00 PM,4.934,8266.7,,,,
