"Plot Title: PP17-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995141, SEN S/N: 9995141, LBL: C)","Intensity, Lux (LGR S/N: 9995141, SEN S/N: 9995141, LBL: Lux)","End Of File (LGR S/N: 9995141)"
1,09/12/18 01:00:00 PM,14.613,23422.4,
2,09/12/18 04:00:00 PM,9.866,4477.8,
3,09/12/18 07:00:00 PM,8.182,925.7,
4,09/12/18 10:00:00 PM,7.582,0.0,
5,09/13/18 01:00:00 AM,6.978,0.0,
6,09/13/18 04:00:00 AM,6.268,0.0,
7,09/13/18 07:00:00 AM,6.268,355.2,
8,09/13/18 10:00:00 AM,10.357,8266.7,
9,09/13/18 01:00:00 PM,14.230,24800.2,
10,09/13/18 04:00:00 PM,11.431,9300.1,
11,09/13/18 07:00:00 PM,8.779,333.7,
12,09/13/18 10:00:00 PM,6.978,0.0,
13,09/14/18 01:00:00 AM,6.166,0.0,
14,09/14/18 04:00:00 AM,5.962,0.0,
15,09/14/18 07:00:00 AM,5.962,624.3,
16,09/14/18 10:00:00 AM,7.882,3444.5,
17,09/14/18 01:00:00 PM,15.378,33066.9,
18,09/14/18 04:00:00 PM,13.942,8611.2,
19,09/14/18 07:00:00 PM,9.472,398.3,
20,09/14/18 10:00:00 PM,7.983,0.0,
21,09/15/18 01:00:00 AM,7.381,0.0,
22,09/15/18 04:00:00 AM,5.962,0.0,
23,09/15/18 07:00:00 AM,5.037,312.2,
24,09/15/18 10:00:00 AM,10.161,13089.0,
25,09/15/18 01:00:00 PM,15.569,18600.1,
26,09/15/18 04:00:00 PM,12.207,6544.5,
27,09/15/18 07:00:00 PM,9.176,473.6,
28,09/15/18 10:00:00 PM,7.782,0.0,
29,09/16/18 01:00:00 AM,5.860,0.0,
30,09/16/18 04:00:00 AM,5.962,0.0,
31,09/16/18 07:00:00 AM,6.573,129.2,
32,09/16/18 10:00:00 AM,9.077,7233.4,
33,09/16/18 01:00:00 PM,10.357,10677.8,
34,09/16/18 04:00:00 PM,11.236,5166.7,
35,09/16/18 07:00:00 PM,7.882,183.0,
36,09/16/18 10:00:00 PM,6.877,0.0,
37,09/17/18 01:00:00 AM,6.471,0.0,
38,09/17/18 04:00:00 AM,5.757,0.0,
39,09/17/18 07:00:00 AM,4.519,215.3,
40,09/17/18 10:00:00 AM,6.471,4994.5,
41,09/17/18 01:00:00 PM,12.690,10677.8,
42,09/17/18 04:00:00 PM,14.804,6544.5,
43,09/17/18 07:00:00 PM,9.077,236.8,
44,09/17/18 10:00:00 PM,8.481,0.0,
45,09/18/18 01:00:00 AM,7.983,0.0,
46,09/18/18 04:00:00 AM,5.141,0.0,
47,09/18/18 07:00:00 AM,2.730,236.8,
48,09/18/18 10:00:00 AM,8.182,4822.3,
49,09/18/18 01:00:00 PM,14.804,9300.1,
50,09/18/18 04:00:00 PM,15.855,5511.1,
51,09/18/18 07:00:00 PM,10.455,172.2,
52,09/18/18 10:00:00 PM,8.680,0.0,
53,09/19/18 01:00:00 AM,5.860,0.0,
54,09/19/18 04:00:00 AM,5.037,0.0,
55,09/19/18 07:00:00 AM,4.311,301.4,
56,09/19/18 10:00:00 AM,9.077,4822.3,
57,09/19/18 01:00:00 PM,15.473,10677.8,
58,09/19/18 04:00:00 PM,16.332,8266.7,
59,09/19/18 07:00:00 PM,10.357,484.4,
60,09/19/18 10:00:00 PM,7.582,0.0,
61,09/20/18 01:00:00 AM,7.079,0.0,
62,09/20/18 04:00:00 AM,6.674,0.0,
63,09/20/18 07:00:00 AM,5.552,161.5,
64,09/20/18 10:00:00 AM,8.382,6200.0,
65,09/20/18 01:00:00 PM,15.569,23422.4,
66,09/20/18 04:00:00 PM,15.855,6200.0,
67,09/20/18 07:00:00 PM,11.236,96.9,
68,09/20/18 10:00:00 PM,8.082,0.0,
69,09/21/18 01:00:00 AM,5.962,0.0,
70,09/21/18 04:00:00 AM,5.347,0.0,
71,09/21/18 07:00:00 AM,5.037,279.9,
72,09/21/18 10:00:00 AM,12.594,7233.4,
73,09/21/18 01:00:00 PM,20.996,34444.7,
74,09/21/18 04:00:00 PM,18.331,6544.5,
75,09/21/18 07:00:00 PM,13.076,172.2,
76,09/21/18 10:00:00 PM,10.455,0.0,
77,09/22/18 01:00:00 AM,9.176,0.0,
