"Plot Title: SPRY-S6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995148, SEN S/N: 9995148, LBL: C)","Intensity, Lux (LGR S/N: 9995148, SEN S/N: 9995148, LBL: Lux)","Bad Battery (LGR S/N: 9995148)","Host Connected (LGR S/N: 9995148)","Coupler Attached (LGR S/N: 9995148)","Stopped (LGR S/N: 9995148)","End Of File (LGR S/N: 9995148)"
1,09/11/18 01:00:00 PM,5.860,3616.7,,,,,
2,09/11/18 04:00:00 PM,4.519,753.5,,,,,
3,09/11/18 07:00:00 PM,3.788,64.6,,,,,
4,09/11/18 10:00:00 PM,3.893,0.0,,,,,
5,09/12/18 01:00:00 AM,3.998,0.0,,,,,
6,09/12/18 04:00:00 AM,3.893,0.0,,,,,
7,09/12/18 07:00:00 AM,3.683,43.1,,,,,
8,09/12/18 10:00:00 AM,4.519,1980.6,,,,,
9,09/12/18 01:00:00 PM,5.347,2325.0,,,,,
10,09/12/18 04:00:00 PM,4.102,796.5,,,,,
11,09/12/18 07:00:00 PM,4.207,183.0,,,,,
12,09/12/18 10:00:00 PM,3.683,0.0,,,,,
13,09/13/18 01:00:00 AM,3.578,0.0,,,,,
14,09/13/18 04:00:00 AM,3.578,0.0,,,,,
15,09/13/18 07:00:00 AM,3.261,86.1,,,,,
16,09/13/18 10:00:00 AM,4.415,2583.4,,,,,
17,09/13/18 01:00:00 PM,5.347,2583.4,,,,,
18,09/13/18 04:00:00 PM,6.573,2755.6,,,,,
19,09/13/18 07:00:00 PM,5.037,43.1,,,,,
20,09/13/18 10:00:00 PM,4.519,0.0,,,,,
21,09/14/18 01:00:00 AM,4.311,0.0,,,,,
22,09/14/18 04:00:00 AM,3.683,0.0,,,,,
23,09/14/18 07:00:00 AM,3.683,32.3,,,,,
24,09/14/18 10:00:00 AM,4.311,936.5,,,,,
25,09/14/18 01:00:00 PM,5.757,2927.8,,,,,
26,09/14/18 04:00:00 PM,5.962,1280.9,,,,,
