"Plot Title: TA01-S3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2401771, SEN S/N: 2401771, LBL: C)","Intensity, Lux (LGR S/N: 2401771, SEN S/N: 2401771, LBL: Lux)","Coupler Attached (LGR S/N: 2401771)","Host Connected (LGR S/N: 2401771)","Stopped (LGR S/N: 2401771)","End Of File (LGR S/N: 2401771)"
1,09/13/18 01:00:00 PM,12.207,3100.0,,,,
2,09/13/18 04:00:00 PM,12.497,3272.2,,,,
3,09/13/18 07:00:00 PM,11.625,43.1,,,,
4,09/13/18 10:00:00 PM,10.357,0.0,,,,
5,09/14/18 01:00:00 AM,9.866,0.0,,,,
6,09/14/18 04:00:00 AM,9.669,0.0,,,,
7,09/14/18 07:00:00 AM,9.373,86.1,,,,
8,09/14/18 10:00:00 AM,10.357,624.3,,,,
9,09/14/18 01:00:00 PM,13.942,4305.6,,,,
10,09/14/18 04:00:00 PM,15.282,2755.6,,,,
11,09/14/18 07:00:00 PM,13.461,96.9,,,,
12,09/14/18 10:00:00 PM,11.722,0.0,,,,
13,09/15/18 01:00:00 AM,10.063,0.0,,,,
14,09/15/18 04:00:00 AM,9.669,0.0,,,,
15,09/15/18 07:00:00 AM,9.077,86.1,,,,
16,09/15/18 10:00:00 AM,10.259,1377.8,,,,
17,09/15/18 01:00:00 PM,13.750,2755.6,,,,
18,09/15/18 04:00:00 PM,13.750,1270.1,,,,
19,09/15/18 07:00:00 PM,12.401,139.9,,,,
20,09/15/18 10:00:00 PM,11.236,0.0,,,,
21,09/16/18 01:00:00 AM,10.357,0.0,,,,
22,09/16/18 04:00:00 AM,10.063,0.0,,,,
23,09/16/18 07:00:00 AM,9.472,32.3,,,,
24,09/16/18 10:00:00 AM,9.275,1980.6,,,,
25,09/16/18 01:00:00 PM,9.965,2411.1,,,,
26,09/16/18 04:00:00 PM,10.357,1141.0,,,,
27,09/16/18 07:00:00 PM,9.571,86.1,,,,
28,09/16/18 10:00:00 PM,9.275,0.0,,,,
29,09/17/18 01:00:00 AM,9.373,0.0,,,,
30,09/17/18 04:00:00 AM,8.581,0.0,,,,
31,09/17/18 07:00:00 AM,8.282,43.1,,,,
32,09/17/18 10:00:00 AM,7.381,979.5,,,,
33,09/17/18 01:00:00 PM,10.553,2755.6,,,,
34,09/17/18 04:00:00 PM,12.401,3444.5,,,,
35,09/17/18 07:00:00 PM,11.528,53.8,,,,
36,09/17/18 10:00:00 PM,10.455,0.0,,,,
37,09/18/18 01:00:00 AM,9.571,0.0,,,,
38,09/18/18 04:00:00 AM,9.275,0.0,,,,
39,09/18/18 07:00:00 AM,8.182,43.1,,,,
40,09/18/18 10:00:00 AM,8.481,914.9,,,,
41,09/18/18 01:00:00 PM,12.110,2583.4,,,,
42,09/18/18 04:00:00 PM,14.134,4133.4,,,,
43,09/18/18 07:00:00 PM,12.980,43.1,,,,
44,09/18/18 10:00:00 PM,11.819,0.0,,,,
45,09/19/18 01:00:00 AM,11.139,0.0,,,,
46,09/19/18 04:00:00 AM,10.553,0.0,,,,
47,09/19/18 07:00:00 AM,10.259,0.0,,,,
48,09/19/18 10:00:00 AM,10.357,1044.1,,,,
49,09/19/18 01:00:00 PM,12.304,4305.6,,,,
50,09/19/18 04:00:00 PM,14.038,6200.0,,,,
51,09/19/18 07:00:00 PM,12.497,43.1,,,,
52,09/19/18 10:00:00 PM,11.139,0.0,,,,
53,09/20/18 01:00:00 AM,10.651,0.0,,,,
54,09/20/18 04:00:00 AM,9.768,0.0,,,,
55,09/20/18 07:00:00 AM,9.176,0.0,,,,
56,09/20/18 10:00:00 AM,10.161,1722.2,,,,
57,09/20/18 01:00:00 PM,11.819,1463.9,,,,
58,09/20/18 04:00:00 PM,13.846,3616.7,,,,
59,09/20/18 07:00:00 PM,12.980,10.8,,,,
60,09/20/18 10:00:00 PM,12.207,0.0,,,,
61,09/21/18 01:00:00 AM,11.528,0.0,,,,
