"Plot Title: TO11-S3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2409612, SEN S/N: 2409612, LBL: C)","Intensity, Lux (LGR S/N: 2409612, SEN S/N: 2409612, LBL: Lux)","Coupler Attached (LGR S/N: 2409612)","Coupler Detached (LGR S/N: 2409612)","Host Connected (LGR S/N: 2409612)","Stopped (LGR S/N: 2409612)","End Of File (LGR S/N: 2409612)"
1,09/10/18 01:00:00 PM,13.365,1463.9,,,,,
2,09/10/18 04:00:00 PM,13.173,570.5,,,,,
3,09/10/18 07:00:00 PM,12.401,32.3,,,,,
4,09/10/18 10:00:00 PM,11.722,0.0,,,,,
5,09/11/18 01:00:00 AM,11.528,0.0,,,,,
6,09/11/18 04:00:00 AM,11.236,0.0,,,,,
7,09/11/18 07:00:00 AM,10.553,64.6,,,,,
8,09/11/18 10:00:00 AM,11.528,1463.9,,,,,
9,09/11/18 01:00:00 PM,14.038,3961.1,,,,,
10,09/11/18 04:00:00 PM,12.110,355.2,,,,,
11,09/11/18 07:00:00 PM,10.748,64.6,,,,,
12,09/11/18 10:00:00 PM,10.259,0.0,,,,,
13,09/12/18 01:00:00 AM,10.161,0.0,,,,,
14,09/12/18 04:00:00 AM,10.161,0.0,,,,,
15,09/12/18 07:00:00 AM,10.063,10.8,,,,,
16,09/12/18 10:00:00 AM,10.846,430.6,,,,,
17,09/12/18 01:00:00 PM,12.304,2497.2,,,,,
18,09/12/18 04:00:00 PM,12.304,452.1,,,,,
19,09/12/18 07:00:00 PM,11.431,43.1,,,,,
20,09/12/18 10:00:00 PM,10.161,0.0,,,,,
21,09/13/18 01:00:00 AM,10.063,0.0,,,,,
22,09/13/18 04:00:00 AM,9.866,0.0,,,,,
23,09/13/18 07:00:00 AM,9.768,32.3,,,,,
24,09/13/18 10:00:00 AM,11.139,1463.9,,,,,
25,09/13/18 01:00:00 PM,12.883,1151.7,,,,,
26,09/13/18 04:00:00 PM,12.594,462.9,,,,,
27,09/13/18 07:00:00 PM,11.916,21.5,,,,,
28,09/13/18 10:00:00 PM,11.041,0.0,,,,,
29,09/14/18 01:00:00 AM,10.651,0.0,,,,,
30,09/14/18 04:00:00 AM,9.965,0.0,,,,,
31,09/14/18 07:00:00 AM,9.669,0.0,,,,,
32,09/14/18 10:00:00 AM,10.748,1205.6,,,,,
33,09/14/18 01:00:00 PM,12.690,1550.0,,,,,
34,09/14/18 04:00:00 PM,12.980,893.4,,,,,
35,09/14/18 07:00:00 PM,12.304,43.1,,,,,
36,09/14/18 10:00:00 PM,11.236,0.0,,,,,
37,09/15/18 01:00:00 AM,10.259,0.0,,,,,
38,09/15/18 04:00:00 AM,9.373,0.0,,,,,
39,09/15/18 07:00:00 AM,8.978,21.5,,,,,
40,09/15/18 10:00:00 AM,10.748,1808.3,,,,,
41,09/15/18 01:00:00 PM,12.304,1463.9,,,,,
42,09/15/18 04:00:00 PM,12.013,839.6,,,,,
43,09/15/18 07:00:00 PM,11.625,53.8,,,,,
44,09/15/18 10:00:00 PM,10.846,0.0,,,,,
45,09/16/18 01:00:00 AM,9.965,0.0,,,,,
46,09/16/18 04:00:00 AM,9.472,0.0,,,,,
47,09/16/18 07:00:00 AM,9.571,0.0,,,,,
48,09/16/18 10:00:00 AM,9.768,1324.0,,,,,
49,09/16/18 01:00:00 PM,10.944,1313.2,,,,,
50,09/16/18 04:00:00 PM,11.916,549.0,,,,,
51,09/16/18 07:00:00 PM,10.357,32.3,,,,,
52,09/16/18 10:00:00 PM,9.965,0.0,,,,,
53,09/17/18 01:00:00 AM,9.669,0.0,,,,,
54,09/17/18 04:00:00 AM,8.879,0.0,,,,,
55,09/17/18 07:00:00 AM,7.682,10.8,,,,,
56,09/17/18 10:00:00 AM,8.182,721.2,,,,,
57,09/17/18 01:00:00 PM,10.748,1076.4,,,,,
58,09/17/18 04:00:00 PM,11.528,538.2,,,,,
59,09/17/18 07:00:00 PM,11.041,10.8,,,,,
60,09/17/18 10:00:00 PM,10.357,0.0,,,,,
61,09/18/18 01:00:00 AM,9.768,0.0,,,,,
62,09/18/18 04:00:00 AM,8.481,0.0,,,,,
63,09/18/18 07:00:00 AM,7.481,0.0,,,,,
64,09/18/18 10:00:00 AM,7.983,678.1,,,,,
65,09/18/18 01:00:00 PM,11.819,2583.4,,,,,
66,09/18/18 04:00:00 PM,11.722,710.4,,,,,
67,09/18/18 07:00:00 PM,11.819,0.0,,,,,
68,09/18/18 10:00:00 PM,10.455,0.0,,,,,
69,09/19/18 01:00:00 AM,9.669,0.0,,,,,
70,09/19/18 04:00:00 AM,8.779,0.0,,,,,
71,09/19/18 07:00:00 AM,8.082,0.0,,,,,
72,09/19/18 10:00:00 AM,8.481,688.9,,,,,
73,09/19/18 01:00:00 PM,11.819,2927.8,,,,,
74,09/19/18 04:00:00 PM,13.461,5166.7,,,,,
75,09/19/18 07:00:00 PM,11.041,0.0,,,,,
76,09/19/18 10:00:00 PM,10.846,0.0,,,,,
77,09/20/18 01:00:00 AM,10.161,0.0,,,,,
78,09/20/18 04:00:00 AM,8.879,0.0,,,,,
79,09/20/18 07:00:00 AM,8.182,0.0,,,,,
80,09/20/18 10:00:00 AM,8.978,721.2,,,,,
81,09/20/18 01:00:00 PM,11.139,1722.2,,,,,
82,09/20/18 04:00:00 PM,12.401,1076.4,,,,,
83,09/20/18 07:00:00 PM,12.013,10.8,,,,,
84,09/20/18 10:00:00 PM,11.431,0.0,,,,,
85,09/21/18 01:00:00 AM,11.041,0.0,,,,,
86,09/21/18 04:00:00 AM,10.651,0.0,,,,,
87,09/21/18 07:00:00 AM,10.161,0.0,,,,,
88,09/21/18 10:00:00 AM,10.651,1463.9,,,,,
89,09/21/18 01:00:00 PM,13.558,3100.0,,,,,
90,09/21/18 04:00:00 PM,14.804,2755.6,,,,,
91,09/21/18 07:00:00 PM,13.846,21.5,,,,,
92,09/21/18 10:00:00 PM,12.883,0.0,,,,,
93,09/22/18 01:00:00 AM,12.594,0.0,,,,,
94,09/22/18 04:00:00 AM,11.819,0.0,,,,,
95,09/22/18 07:00:00 AM,11.722,0.0,,,,,
96,09/22/18 10:00:00 AM,12.304,979.5,,,,,
97,09/22/18 01:00:00 PM,12.980,1119.5,,,,,
98,09/22/18 04:00:00 PM,12.497,398.3,,,,,
99,09/22/18 07:00:00 PM,11.334,64.6,,,,,
100,09/22/18 10:00:00 PM,10.357,0.0,,,,,
101,09/23/18 01:00:00 AM,9.077,0.0,,,,,
102,09/23/18 04:00:00 AM,8.082,0.0,,,,,
103,09/23/18 07:00:00 AM,6.877,10.8,,,,,
104,09/23/18 10:00:00 AM,7.280,678.1,,,,,
105,09/23/18 01:00:00 PM,10.063,2325.0,,,,,
106,09/23/18 04:00:00 PM,10.651,893.4,,,,,
107,09/23/18 07:00:00 PM,9.866,0.0,,,,,
108,09/23/18 10:00:00 PM,8.282,0.0,,,,,
109,09/24/18 01:00:00 AM,7.381,0.0,,,,,
110,09/24/18 04:00:00 AM,7.280,0.0,,,,,
111,09/24/18 07:00:00 AM,7.682,0.0,,,,,
112,09/24/18 10:00:00 AM,8.082,656.6,,,,,
113,09/24/18 01:00:00 PM,11.236,1980.6,,,,,
114,09/24/18 04:00:00 PM,12.110,2411.1,,,,,
115,09/24/18 07:00:00 PM,10.748,0.0,,,,,
116,09/24/18 10:00:00 PM,9.472,0.0,,,,,
117,09/25/18 01:00:00 AM,8.282,0.0,,,,,
118,09/25/18 04:00:00 AM,7.280,0.0,,,,,
119,09/25/18 07:00:00 AM,6.877,0.0,,,,,
120,09/25/18 10:00:00 AM,7.782,667.4,,,,,
121,09/25/18 01:00:00 PM,11.625,1980.6,,,,,
122,09/25/18 04:00:00 PM,12.401,1345.5,,,,,
123,09/25/18 07:00:00 PM,11.334,0.0,,,,,
124,09/25/18 10:00:00 PM,10.259,0.0,,,,,
125,09/26/18 01:00:00 AM,9.373,0.0,,,,,
126,09/26/18 04:00:00 AM,8.680,0.0,,,,,
127,09/26/18 07:00:00 AM,8.282,0.0,,,,,
128,09/26/18 10:00:00 AM,8.680,645.8,,,,,
129,09/26/18 01:00:00 PM,12.401,2066.7,,,,,
130,09/26/18 04:00:00 PM,13.173,527.4,,,,,
131,09/26/18 07:00:00 PM,12.497,0.0,,,,,
