"Plot Title: TO11-S6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10603883, SEN S/N: 10603883, LBL: C)","Intensity, Lux (LGR S/N: 10603883, SEN S/N: 10603883, LBL: Lux)","End Of File (LGR S/N: 10603883)"
1,09/10/18 01:00:00 PM,14.325,4994.5,
2,09/10/18 04:00:00 PM,13.654,2152.8,
3,09/10/18 07:00:00 PM,12.304,183.0,
4,09/10/18 10:00:00 PM,11.431,0.0,
5,09/11/18 01:00:00 AM,11.236,0.0,
6,09/11/18 04:00:00 AM,10.944,0.0,
7,09/11/18 07:00:00 AM,10.259,236.8,
8,09/11/18 10:00:00 AM,12.207,5166.7,
9,09/11/18 01:00:00 PM,14.804,4133.4,
10,09/11/18 04:00:00 PM,12.110,1162.5,
11,09/11/18 07:00:00 PM,10.553,247.6,
12,09/11/18 10:00:00 PM,10.063,0.0,
13,09/12/18 01:00:00 AM,10.063,0.0,
14,09/12/18 04:00:00 AM,9.866,0.0,
15,09/12/18 07:00:00 AM,9.866,118.4,
16,09/12/18 10:00:00 AM,10.846,1205.6,
17,09/12/18 01:00:00 PM,12.980,6200.0,
18,09/12/18 04:00:00 PM,12.690,1894.5,
19,09/12/18 07:00:00 PM,11.139,204.5,
20,09/12/18 10:00:00 PM,9.866,0.0,
21,09/13/18 01:00:00 AM,9.768,0.0,
22,09/13/18 04:00:00 AM,9.472,0.0,
23,09/13/18 07:00:00 AM,9.571,172.2,
24,09/13/18 10:00:00 AM,12.110,6200.0,
25,09/13/18 01:00:00 PM,13.750,5338.9,
26,09/13/18 04:00:00 PM,12.690,1636.1,
27,09/13/18 07:00:00 PM,11.625,150.7,
28,09/13/18 10:00:00 PM,10.651,0.0,
29,09/14/18 01:00:00 AM,10.259,0.0,
30,09/14/18 04:00:00 AM,9.373,0.0,
31,09/14/18 07:00:00 AM,9.373,96.9,
32,09/14/18 10:00:00 AM,11.334,4822.3,
33,09/14/18 01:00:00 PM,13.942,5166.7,
34,09/14/18 04:00:00 PM,13.461,3100.0,
35,09/14/18 07:00:00 PM,12.110,279.9,
36,09/14/18 10:00:00 PM,10.651,0.0,
37,09/15/18 01:00:00 AM,9.472,0.0,
38,09/15/18 04:00:00 AM,8.779,0.0,
39,09/15/18 07:00:00 AM,8.581,161.5,
