Species,Year,Site,Phenophase,SDD,Opt,Duration,Height
ANAR,2017,GB1,bud,152,198.8864,7.3836,2.1629
ANAR,2017,GB3,bud,149,205.9137,9.7615,21.8198
ANAR,2017,GB4,bud,149,229.0652,12.4225,16.5789
ANAR,2017,GB5,bud,149,216.0721,8.5747,12.4509
ANAR,2017,GB6,bud,174,222.8568,15.7015,17.0552
ANAR,2017,GB7,bud,174,229.4058,9.1229,22.9163
ANAR,2017,GB3,flwr,149,213.6378,9.0346,22.6645
ANAR,2017,GB4,flwr,149,235.5891,6.3284,14.1664
ANAR,2017,GB5,flwr,149,227.2268,4.8828,12.2526
ANAR,2017,GB6,flwr,174,228.65,13.4224,18.0991
ANAR,2017,GB7,flwr,174,244.6197,9.3675,28.0561
ANAR,2017,GB1,fruit,152,232.8771,27.3608,5.5944
ANAR,2017,GB3,fruit,149,228.0211,11.5686,26.9537
ANAR,2017,GB4,fruit,149,250.0864,16.076,15.1741
ANAR,2017,GB5,fruit,149,242.9792,3.6495,12.5766
ANAR,2017,GB6,fruit,174,235.3082,1.8578,4.991
ANAR,2017,GB3,seed,149,246.5122,7.9335,31.0447
ANAR,2018,GB1,bud,134,211.9089,13.5876,26.3097
ANAR,2018,GB3,bud,136,203.5156,9.3535,23.743
ANAR,2018,GB4,bud,141,204.2251,22.7712,15.5468
ANAR,2018,GB6,bud,145,221.8517,22.2075,14.0261
ANAR,2018,GB7,bud,158,235.5259,21.6595,19.5407
ANAR,2018,GB1,flwr,134,220.7626,9.4849,23.7826
ANAR,2018,GB3,flwr,136,207.0741,8.7754,21.9879
ANAR,2018,GB4,flwr,141,219.5047,14.1993,8.0268
ANAR,2018,GB6,flwr,145,225.7469,19.0894,18.9864
ANAR,2018,GB7,flwr,158,243.3128,5.4496,10.7885
ANAR,2018,GB1,fruit,134,231.5982,10.3466,19.151
ANAR,2018,GB3,fruit,136,229.8946,16.8732,40.4343
ANAR,2018,GB4,fruit,141,227.7547,9.0005,7.8479
ANAR,2018,GB6,fruit,145,245.011,9.2224,12.423
ANAR,2018,GB1,seed,134,257.8705,12.4865,10.8181
ANAR,2018,GB3,seed,136,252.8917,22.3166,55.8023
ANOC,2013,RL6,bud,195,196.9015,3.4284,9.0463
ANOC,2013,RL7,bud,194,205.0843,4.4183,5.0634
ANOC,2013,RL8,bud,193,205.9215,3.1748,7.9604
