Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2019,12933,11743,32101,29632,106136,219641,365200,378305,184166,74355,48248,39161
2018,23928,18782,29624,29400,107122,219842,349140,325914,191730,108455,86310,28244
2017,27204,21557,22768,34679,97809,189348,329618,323130,195641,89520,58164,26429
2016,34786,26655,28799,50395,93828,187037,296922,313699,195579,76232,27114,25867
2015,28663,18527,30565,49589,69225,160878,271118,259670,179756,75827,71663,21750
2014,23824,10641,19935,31295,55951,161513,263948,320378,173827,76384,111446,15117
2013,21735,16937,22315,14102,51227,178339,286562,287340,154566,38478,59344,17607
2012,14361,16894,15977,25320,62732,109205,240018,275146,185340,59049,28224,16912
2011,21157,20023,17283,20049,39096,90181,243791,272128,196242,66499,31614,20166
2010,25416,27854,26409,23661,56037,186060,276729,287090,160833,66114,35042,20509
2009,14766,17919,13917,22254,66161,184078,269951,267980,175431,65988,29473,23736
2008,21814,20309,21118,22166,62793,176513,240097,267285,182021,77884,57298,13929
2007,1337,663,1306,5582,60261,173843,231630,243245,171254,76561,59111,22892
2006,24201,24967,24515,27674,52860,162783,266036,256497,182440,78600,12070,958
2005,21728,25010,26358,27660,70631,179269,259385,266133,165535,75533,33175,23480
2004,19661,22797,23318,34417,67106,179952,284252,255000,167700,72500,63844,27203
2003,31549,25616,21826,25525,79000,182774,270329,277539,172787,106540,43464,25402
2002,21371,25394,21873,24276,71889,175955,265553,296000,182609,106575,66658,52237
2001,31763,29392,25451,30687,85145,179336,281377,269233,186589,112288,32674,37168
2000,28406,32619,23784,35744,81895,181516,276237,289775,175595,117543,68112,33607
1999,27159,21471,27918,40697,70931,113329,252280,288164,235948,139396,44779,29325
1998,28439,25943,26924,30260,67607,177765,286315,319270,216542,95362,50549,28817
1997,19221,24240,22184,29528,77784,141310,276211,375046,189926,75130,46397,38796
1996,21112,20249,29894,31859,74332,145874,283070,408930,174770,95262,37599,16010
1995,39424,22081,39447,49122,103096,153876,212613,355883,257982,142021,36460,26222
1994,39425,30939,53383,37687,71915,172427,343691,325645,187212,98436,33986,31498
1993,31721,31291,35392,36884,82940,179029,283892,328091,187771,95999,40979,31224
1992,42446,39705,48162,53934,122459,210915,290405,338092,176624,113336,51979,34000
1991,22523,30945,29077,31996,65438,176700,398096,409106,188886,110988,45223,40434
1990,63189,18130,32872,33565,78294,179019,303999,288940,176998,62898,41347,47850
1989,59325,34240,26553,46592,83030,183035,255468,324200,170803,87946,43525,39585
1988,43210,34222,32760,39891,73834,144888,270247,293903,133308,101743,48670,38942
1987,39828,31182,33040,42578,106340,146991,230582,261183,188455,111677,69428,30743
1986,26966,23613,31534,32756,78522,151664,250629,358361,153204,104187,53703,33318
1985,29863,27279,34371,32428,66944,157620,257489,281433,148924,75254,31111,22924
1984,29568,29455,32423,36880,65967,142835,268233,269147,146875,71738,31465,27825
1983,32603,34451,39885,44594,85755,113093,239161,223992,123286,93783,49747,25956
1982,20471,19420,25175,27525,65697,118271,231800,244031,117786,63247,42061,31816
1981,29479,27530,40542,40970,77163,191009,241503,300725,135510,65991,61926,21323
1980,34198,26338,34718,47582,59060,168866,269787,269983,150218,119194,63496,24816
1979,24214,15342,40179,43153,65792,165991,404398,359403,188076,111263,50906,47986
