species,site,year,range
ANOC,RL,2013,-0.00593930189563104
ANOC,RL,2014,-0.00339009439159902
ANOC,RL,2015,-0.0045204825182186
ANOC,RL,2016,-0.00433076575755622
ANOC,RL,2017,-0.0153763743231646
ANOC,RL,2018,-0.00365680717633377
ANOC,RL,2019,-0.0062287191106494
ASLE,GB,2015,-0.00139149134149959
ASLE,GB,2016,-0.00871289230953794
ASLE,GB,2017,-0.00269909871544846
ASLE,GB,2018,-0.00343308404072001
ASLE,GB,2019,-0.00960991964401261
CAMI,GB,2015,-0.00561646723084579
CAMI,GB,2016,-0.00115086937596313
CAMI,GB,2017,-0.0156827643705577
CAMI,GB,2018,-0.00371013090439892
CAMI,GB,2019,-0.00609253320762205
CAPA,RL,2013,-0.00836847334850655
CAPA,RL,2014,-0.00305894695375153
CAPA,RL,2015,-0.0014776861032836
CAPA,RL,2016,-0.00882221373956148
CAPA,RL,2017,-0.0165516548352077
CAPA,RL,2018,-0.00405086665678682
CAPA,RL,2019,-0.0027884865558406
ERGR,GB,2015,0.892068936991261
ERGR,GB,2016,-9.54411798823428
ERGR,GB,2017,-0.0100013024523294
ERGR,GB,2018,-0.0175762562434811
ERGR,GB,2019,-0.008186982899043
ERMO,RL,2013,-0.0265538691720198
ERMO,RL,2014,-0.00786793563813266
ERMO,RL,2015,-0.00131626859628289
ERMO,RL,2016,-0.00617325424429014
ERMO,RL,2017,-0.00677485444679899
ERMO,RL,2018,-0.022442921412621
ERMO,RL,2019,-0.016075892845031
ERPE,RL,2013,-0.0132157638297902
ERPE,RL,2014,-0.00833084174796712
ERPE,RL,2015,-0.000672247604408365
ERPE,RL,2016,-0.045161108623155
ERPE,RL,2017,-0.0047352731445274
ERPE,RL,2018,-0.00818552459064023
ERPE,RL,2019,-0.0228162817534061
LUAR,GB,2015,-0.00206398158473529
LUAR,GB,2016,-0.00604270550910812
LUAR,GB,2017,-0.00983746421525365
LUAR,GB,2018,-0.00472265808969106
LUAR,GB,2019,-0.00599411417918266
LUAR,RL,2013,-0.0238470262333064
LUAR,RL,2014,-0.0094222865331662
LUAR,RL,2015,-0.000336412471040773
LUAR,RL,2016,-0.0445975780045637
LUAR,RL,2017,-0.0692806805906419
LUAR,RL,2018,-0.0100674811105413
LUAR,RL,2019,-0.0219588551329564
PEBR,GB,2015,-0.00574067716080452
PEBR,GB,2016,-0.0584543732249806
PEBR,GB,2017,-0.0334049353065914
PEBR,GB,2018,-0.021200756664556
PEBR,GB,2019,-0.00758183162856995
PEBR,RL,2013,-0.010695228144754
PEBR,RL,2014,-0.00700338453111172
PEBR,RL,2015,-0.00287105041626748
PEBR,RL,2016,-0.0193226881680386
PEBR,RL,2017,-0.0438820955585266
PEBR,RL,2018,-0.00586605139881978
PEBR,RL,2019,-0.0651607614020765
VASI,GB,2015,-0.0016368023206897
VASI,GB,2016,-0.0163574272046552
VASI,GB,2017,-0.00343509224391363
VASI,GB,2018,-0.00606017956292309
VASI,GB,2019,-0.00618568741592544
VASI,RL,2013,-0.00493612543666171
VASI,RL,2014,-0.00210204372944963
VASI,RL,2015,-0.00331803716281911
VASI,RL,2016,-0.0433481564240761
VASI,RL,2017,-0.0161693771101435
VASI,RL,2018,-0.0159643591179146
VASI,RL,2019,-0.00768588190524515
