"","year","stand","plot","calibration","snow_appearance_date","snow_disappearance_date","snow_cover_duration","minimum_soil_temp"
"1",2015,"soil","GB-1",0.908337037037037,"2014-11-13","2015-04-26",119,-1.684
"2",2017,"soil","GB-1",0,"2016-11-17","2017-06-01",197,0.343
"3",2018,"soil","GB-1",0,"2017-10-08","2018-05-12",204,0.01
"4",2019,"soil","GB-1",0,"2018-11-05","2019-05-22",197,-0.549
"5",2015,"soil","GB-10",-0.00117546296296296,"2014-10-26","2015-05-05",177,-2.03
"6",2017,"soil","GB-10",0,"2016-10-19","2017-06-26",229,0.121
"7",2018,"soil","GB-10",0,"2017-10-08","2018-06-07",231,-0.549
"8",2019,"soil","GB-10",0,NA,NA,0,21.434
"9",2015,"soil","GB-11",0.293092735042735,"2014-10-24","2015-05-11",194,-0.549
"10",2017,"soil","GB-11",0,"2016-10-17","2017-06-24",247,0.232
"11",2018,"soil","GB-11",0,"2017-10-12","2018-06-10",230,-1.001
"12",2019,"soil","GB-11",0,NA,NA,0,31.617
"13",2015,"soil","GB-12",0.203692879499218,"2014-10-24","2015-05-24",212,-1.114
"14",2017,"soil","GB-12",0,"2016-10-17","2017-06-28",255,0.01
"15",2018,"soil","GB-12",0,"2017-10-03","2018-06-19",258,0.121
"16",2015,"soil","GB-13",0.195603130755064,"2014-10-24","2015-05-03",180,-2.727
"17",2017,"soil","GB-13",0,"2016-10-17","2017-06-18",239,0.121
"18",2019,"soil","GB-13",32.576000502008,NA,NA,0,31.213
"19",2015,"soil","GB-14",0.387375816993464,"2014-10-24","2015-05-16",202,-0.102
"20",2017,"soil","GB-14",0,"2016-10-17","2017-06-23",250,0.121
"21",2018,"soil","GB-14",0,"2017-10-13","2018-06-05",232,-3.197
"22",2019,"soil","GB-14",0,NA,NA,0,29.995
"23",2015,"soil","GB-15",0.13483630952381,"2014-10-24","2015-05-15",194,-0.213
"24",2017,"soil","GB-15",0,"2016-10-17","2017-07-05",260,0.121
"25",2018,"soil","GB-15",0,"2017-10-02","2018-06-16",253,0.121
"26",2019,"soil","GB-15",0,NA,NA,0,27.091
"27",2017,"soil","GB-16",0.42435085978836,"2016-10-17","2017-06-26",252,0.121
"28",2018,"soil","GB-16",0,"2017-10-11","2018-05-25",223,-0.213
"29",2019,"soil","GB-16",0,NA,NA,0,28.969
"30",2017,"soil","GB-17",0,"2016-10-17","2017-07-01",258,0.232
"31",2018,"soil","GB-17",0,"2017-10-12","2018-06-17",243,0.01
"32",2019,"soil","GB-17",0,NA,NA,0,28.762
"33",2015,"soil","GB-2",0.497398496240602,"2014-11-11","2015-04-14",127,-0.213
"34",2017,"soil","GB-2",0,"2016-11-16","2017-05-27",193,0.121
"35",2018,"soil","GB-2",0,"2017-10-13","2018-05-12",197,-2.494
"36",2019,"soil","GB-2",0,"2018-11-08","2019-05-20",194,-1.001
