"YEAR","MONTH","DAY","HOUR","MIN","TEMP"
2018,9,26,13,0,75.312
2018,9,26,15,0,67.392
2018,9,26,17,0,58.82
2018,9,26,19,0,53.449
2018,9,26,21,0,50.29
2018,9,26,23,0,48.517
2018,9,27,1,0,47.266
2018,9,27,3,0,46.369
2018,9,27,5,0,45.286
2018,9,27,7,0,44.379
2018,9,27,9,0,53.1
2018,9,27,11,0,69.793
2018,9,27,13,0,78.274
2018,9,27,15,0,71.168
2018,9,27,17,0,62.083
2018,9,27,19,0,56.404
2018,9,27,21,0,52.225
2018,9,27,23,0,49.582
2018,9,28,1,0,47.624
2018,9,28,3,0,45.648
2018,9,28,5,0,44.195
2018,9,28,7,0,42.915
2018,9,28,9,0,49.404
2018,9,28,11,0,67.05
2018,9,28,13,0,76.181
2018,9,28,15,0,68.763
2018,9,28,17,0,61.912
2018,9,28,19,0,55.884
2018,9,28,21,0,51.346
2018,9,28,23,0,48.339
2018,9,29,1,0,46.369
2018,9,29,3,0,44.922
2018,9,29,5,0,43.282
2018,9,29,7,0,41.81
2018,9,29,9,0,46.188
2018,9,29,11,0,54.842
2018,9,29,13,0,61.054
2018,9,29,15,0,60.024
2018,9,29,17,0,55.884
2018,9,29,19,0,51.874
2018,9,29,21,0,49.228
2018,9,29,23,0,46.188
2018,9,30,1,0,42.915
2018,9,30,3,0,40.321
2018,9,30,5,0,40.134
2018,9,30,7,0,41.067
2018,9,30,9,0,46.008
2018,9,30,11,0,47.982
2018,9,30,13,0,48.871
2018,9,30,15,0,50.643
2018,9,30,17,0,48.871
2018,9,30,19,0,46.728
2018,9,30,21,0,45.286
2018,9,30,23,0,43.466
2018,10,1,1,0,42.915
2018,10,1,3,0,43.282
2018,10,1,5,0,42.732
2018,10,1,7,0,42.179
2018,10,1,9,0,43.831
2018,10,1,11,0,47.624
2018,10,1,13,0,49.05
2018,10,1,15,0,49.582
2018,10,1,17,0,47.802
2018,10,1,19,0,46.008
2018,10,1,21,0,45.286
2018,10,1,23,0,44.742
2018,10,2,1,0,44.56
2018,10,2,3,0,44.195
2018,10,2,5,0,42.732
2018,10,2,7,0,41.81
2018,10,2,9,0,43.648
2018,10,2,11,0,55.711
2018,10,2,13,0,63.626
2018,10,2,15,0,55.189
2018,10,2,17,0,46.548
2018,10,2,19,0,41.439
2018,10,2,21,0,38.44
2018,10,2,23,0,36.531
2018,10,3,1,0,35.37
2018,10,3,3,0,34.198
2018,10,3,5,0,33.213
2018,10,3,7,0,32.418
2018,10,3,9,0,32.617
2018,10,3,11,0,48.695
2018,10,3,13,0,60.712
2018,10,3,15,0,55.189
2018,10,3,17,0,49.759
2018,10,3,19,0,43.831
2018,10,3,21,0,40.134
2018,10,3,23,0,39.384
2018,10,4,1,0,38.061
2018,10,4,3,0,35.951
2018,10,4,5,0,35.175
2018,10,4,7,0,34.59
2018,10,4,9,0,34.59
2018,10,4,11,0,53.798
2018,10,4,13,0,56.057
2018,10,4,15,0,48.339
2018,10,4,17,0,45.286
2018,10,4,19,0,42.179
2018,10,4,21,0,38.629
2018,10,4,23,0,36.145
2018,10,5,1,0,34.59
2018,10,5,3,0,33.607
2018,10,5,5,0,33.213
2018,10,5,7,0,33.013
2018,10,5,9,0,33.213
2018,10,5,11,0,33.805
2018,10,5,13,0,35.175
2018,10,5,15,0,35.951
2018,10,5,17,0,35.175
2018,10,5,19,0,34.981
2018,10,5,21,0,34.981
2018,10,5,23,0,35.175
2018,10,6,1,0,34.981
2018,10,6,3,0,34.981
2018,10,6,5,0,34.981
2018,10,6,7,0,34.981
2018,10,6,9,0,35.175
2018,10,6,11,0,38.818
2018,10,6,13,0,55.537
2018,10,6,15,0,51.523
2018,10,6,17,0,42.915
2018,10,6,19,0,38.25
2018,10,6,21,0,35.951
2018,10,6,23,0,34.981
2018,10,7,1,0,34.394
2018,10,7,3,0,34.002
2018,10,7,5,0,33.805
2018,10,7,7,0,33.805
2018,10,7,9,0,33.607
2018,10,7,11,0,36.723
2018,10,7,13,0,42.548
2018,10,7,15,0,46.728
2018,10,7,17,0,45.104
2018,10,7,19,0,42.363
2018,10,7,21,0,40.881
2018,10,7,23,0,40.134
2018,10,8,1,0,39.76
2018,10,8,3,0,39.573
2018,10,8,5,0,39.573
2018,10,8,7,0,39.384
2018,10,8,9,0,39.947
2018,10,8,11,0,42.363
2018,10,8,13,0,43.831
2018,10,8,15,0,43.831
2018,10,8,17,0,43.282
2018,10,8,19,0,41.994
2018,10,8,21,0,41.439
2018,10,8,23,0,41.439
2018,10,9,1,0,41.254
2018,10,9,3,0,40.134
2018,10,9,5,0,36.145
2018,10,9,7,0,35.37
2018,10,9,9,0,35.758
2018,10,9,11,0,49.228
2018,10,9,13,0,60.712
2018,10,9,15,0,52.225
2018,10,9,17,0,48.517
2018,10,9,19,0,44.379
2018,10,9,21,0,41.994
2018,10,9,23,0,39.007
2018,10,10,1,0,38.629
2018,10,10,3,0,38.061
2018,10,10,5,0,37.488
2018,10,10,7,0,37.107
2018,10,10,9,0,37.679
2018,10,10,11,0,46.548
